Driver,Coef,GP,Year
ALO,-1.1100854187470075,Bahrain Grand Prix,2022
BOT,-2.0227012252111813,Bahrain Grand Prix,2022
GAS,-1.2684797036558377,Bahrain Grand Prix,2022
GIO,-1.0684706265593156,Bahrain Grand Prix,2022
HAM,-2.4725329607004283,Bahrain Grand Prix,2022
HUL,0.24478392303111043,Bahrain Grand Prix,2022
LAT,0.6315553872687373,Bahrain Grand Prix,2022
LEC,-2.0992932245023477,Bahrain Grand Prix,2022
MAG,-1.391238299461791,Bahrain Grand Prix,2022
MSC,-0.02609431038781945,Bahrain Grand Prix,2022
NOR,-1.043602633392237,Bahrain Grand Prix,2022
OCO,-1.163956397757883,Bahrain Grand Prix,2022
PER,-2.8443201281893624,Bahrain Grand Prix,2022
RAI,-1.2200278401496574,Bahrain Grand Prix,2022
RIC,-0.7929607672877463,Bahrain Grand Prix,2022
RUS,-1.2456710843934897,Bahrain Grand Prix,2022
SAI,-1.9817661265641886,Bahrain Grand Prix,2022
STR,-0.7720054092427436,Bahrain Grand Prix,2022
TSU,-1.3468976412182954,Bahrain Grand Prix,2022
VER,-2.664466981319,Bahrain Grand Prix,2022
VET,-0.8637620744085258,Bahrain Grand Prix,2022
ZHO,-1.2113877791815217,Bahrain Grand Prix,2022
ALO,0.3257533535210067,Emilia Romagna Grand Prix,2022
BOT,-0.6252995406742886,Emilia Romagna Grand Prix,2022
GAS,-0.20654084585866292,Emilia Romagna Grand Prix,2022
GIO,0.6510554007930551,Emilia Romagna Grand Prix,2022
HAM,-0.3394346754888853,Emilia Romagna Grand Prix,2022
LAT,0.32022988314010353,Emilia Romagna Grand Prix,2022
LEC,-1.0815628157330204,Emilia Romagna Grand Prix,2022
MAG,-0.01931438379922291,Emilia Romagna Grand Prix,2022
MAZ,2.804038924448922,Emilia Romagna Grand Prix,2022
MSC,0.5504085456172643,Emilia Romagna Grand Prix,2022
NOR,-0.5108341612454752,Emilia Romagna Grand Prix,2022
OCO,0.1489937114025525,Emilia Romagna Grand Prix,2022
PER,-0.7867208069826105,Emilia Romagna Grand Prix,2022
RAI,0.33529715596617377,Emilia Romagna Grand Prix,2022
RIC,0.05006978425918722,Emilia Romagna Grand Prix,2022
RUS,-0.40567211744051523,Emilia Romagna Grand Prix,2022
SAI,-0.7909185954122441,Emilia Romagna Grand Prix,2022
STR,0.055686716517736885,Emilia Romagna Grand Prix,2022
TSU,-0.44971380813987716,Emilia Romagna Grand Prix,2022
VER,-1.1735125709725616,Emilia Romagna Grand Prix,2022
VET,0.051754261629773896,Emilia Romagna Grand Prix,2022
ZHO,0.16473092460582384,Emilia Romagna Grand Prix,2022
ALO,3.2464547861553603,Portuguese Grand Prix,2022
BOT,2.432629095633475,Portuguese Grand Prix,2022
GAS,3.453475101713759,Portuguese Grand Prix,2022
GIO,3.663795773459637,Portuguese Grand Prix,2022
HAM,2.4587424921350687,Portuguese Grand Prix,2022
LAT,5.016831085395727,Portuguese Grand Prix,2022
LEC,3.2682658658391905,Portuguese Grand Prix,2022
MAZ,5.266673610777987,Portuguese Grand Prix,2022
MSC,4.87335245758382,Portuguese Grand Prix,2022
NOR,3.220905739295126,Portuguese Grand Prix,2022
OCO,3.385368136751669,Portuguese Grand Prix,2022
PER,2.9624162487980104,Portuguese Grand Prix,2022
RAI,12.199345149586573,Portuguese Grand Prix,2022
RIC,3.430893617744293,Portuguese Grand Prix,2022
RUS,4.7269292767224265,Portuguese Grand Prix,2022
SAI,3.542833290270468,Portuguese Grand Prix,2022
STR,3.6774129244278053,Portuguese Grand Prix,2022
TSU,4.005940667229455,Portuguese Grand Prix,2022
VER,2.453083605264624,Portuguese Grand Prix,2022
VET,3.706665763463109,Portuguese Grand Prix,2022
ALO,-1.971071284407426,Spanish Grand Prix,2022
BOT,-2.8590011831789197,Spanish Grand Prix,2022
GAS,-1.8982322514036878,Spanish Grand Prix,2022
GIO,-1.4866658978800962,Spanish Grand Prix,2022
HAM,-3.7559902898559954,Spanish Grand Prix,2022
LAT,-0.8089856200739667,Spanish Grand Prix,2022
LEC,-2.918056478907009,Spanish Grand Prix,2022
MAG,-1.812154449777145,Spanish Grand Prix,2022
MAZ,0.32613388539604754,Spanish Grand Prix,2022
MSC,-1.2077872042500408,Spanish Grand Prix,2022
NOR,-2.1273530413861126,Spanish Grand Prix,2022
OCO,-2.098487833501116,Spanish Grand Prix,2022
PER,-3.0600663232818897,Spanish Grand Prix,2022
RAI,-1.8694633059796413,Spanish Grand Prix,2022
RIC,-2.0501564703764705,Spanish Grand Prix,2022
RUS,-2.1903752320700303,Spanish Grand Prix,2022
SAI,-2.9186025624841445,Spanish Grand Prix,2022
STR,-1.5722792073128513,Spanish Grand Prix,2022
TSU,-2.0344899080077847,Spanish Grand Prix,2022
VER,-3.548202481227473,Spanish Grand Prix,2022
VET,-1.7453578125515827,Spanish Grand Prix,2022
ZHO,-1.952702474253024,Spanish Grand Prix,2022
ALO,-0.7623698607651028,Monaco Grand Prix,2022
BOT,-3.7385705583288713,Monaco Grand Prix,2022
GAS,-3.463268260179593,Monaco Grand Prix,2022
GIO,-2.101421902940166,Monaco Grand Prix,2022
HAM,-2.6702931310728597,Monaco Grand Prix,2022
LAT,-0.8510274802341521,Monaco Grand Prix,2022
LEC,-7.292049429006908,Monaco Grand Prix,2022
MAZ,-0.7579058101016171,Monaco Grand Prix,2022
MSC,-0.20206178534735542,Monaco Grand Prix,2022
NOR,-5.220115888729715,Monaco Grand Prix,2022
OCO,-0.4934972390785481,Monaco Grand Prix,2022
PER,-4.2992983806554435,Monaco Grand Prix,2022
RAI,-2.4842457981215533,Monaco Grand Prix,2022
RIC,-2.44287580843631,Monaco Grand Prix,2022
RUS,-2.4968496799614113,Monaco Grand Prix,2022
SAI,-4.546754159366366,Monaco Grand Prix,2022
STR,-2.669112324459653,Monaco Grand Prix,2022
TSU,-0.9222522443504408,Monaco Grand Prix,2022
VER,-4.718345251250288,Monaco Grand Prix,2022
VET,-3.7715631732373893,Monaco Grand Prix,2022
ZHO,1.1910742999722217,Monaco Grand Prix,2022
ALO,-0.14342046788792692,Azerbaijan Grand Prix,2022
BOT,0.03582669967057908,Azerbaijan Grand Prix,2022
GAS,-0.48388690781956484,Azerbaijan Grand Prix,2022
GIO,0.05972990532292121,Azerbaijan Grand Prix,2022
HAM,-0.860863748237572,Azerbaijan Grand Prix,2022
LAT,1.3875015771477022,Azerbaijan Grand Prix,2022
LEC,-1.143479593567199,Azerbaijan Grand Prix,2022
MAG,-0.02250781331943975,Azerbaijan Grand Prix,2022
MAZ,2.203492974276808,Azerbaijan Grand Prix,2022
MSC,1.0491912874512734,Azerbaijan Grand Prix,2022
NOR,-0.4957267142407085,Azerbaijan Grand Prix,2022
OCO,0.2628847760592003,Azerbaijan Grand Prix,2022
PER,-1.445339013609681,Azerbaijan Grand Prix,2022
RAI,0.24205118943763362,Azerbaijan Grand Prix,2022
RIC,-0.21554495068319138,Azerbaijan Grand Prix,2022
RUS,-0.17369174074386146,Azerbaijan Grand Prix,2022
SAI,-0.6754009476706383,Azerbaijan Grand Prix,2022
STR,0.15606616208987406,Azerbaijan Grand Prix,2022
TSU,-0.5410056815277587,Azerbaijan Grand Prix,2022
VER,-1.7768536922161677,Azerbaijan Grand Prix,2022
VET,-0.5832425464698807,Azerbaijan Grand Prix,2022
ZHO,-0.3057635319561032,Azerbaijan Grand Prix,2022
ALO,-0.5250250698978653,French Grand Prix,2022
BOT,-0.7881476613070474,French Grand Prix,2022
GAS,-0.4766927909282905,French Grand Prix,2022
GIO,0.2518154864706016,French Grand Prix,2022
HAM,-1.5071700681145277,French Grand Prix,2022
LAT,0.37886590392814873,French Grand Prix,2022
LEC,-0.5156668430597287,French Grand Prix,2022
MAG,-0.12108931800542605,French Grand Prix,2022
MAZ,1.3557144159410506,French Grand Prix,2022
MSC,0.6287887352792946,French Grand Prix,2022
NOR,-0.5803338606930557,French Grand Prix,2022
OCO,-0.12856637079175562,French Grand Prix,2022
