LapTime,LapNumber,Interval_front,Interval_behind,PitIn,PitOut,Driver,Compound,Compound_Detail,Year,TyreLife,GP,Position,TrackStatus
96.851,1.0,100.0,0.40599999999994907,0,0,ALO,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,1.0,1
97.257,1.0,0.40599999999994907,1.3949999999999818,0,0,PER,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,2.0,1
98.652,1.0,1.3949999999999818,0.4410000000002583,0,0,RUS,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,3.0,1
99.093,1.0,0.4410000000002583,0.31999999999970896,0,0,STR,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,4.0,1
99.413,1.0,0.31999999999970896,0.8320000000003347,0,0,SAI,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,5.0,1
100.245,1.0,0.8320000000003347,0.7929999999996653,0,0,OCO,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,6.0,1
101.038,1.0,0.7929999999996653,1.1340000000000146,0,0,HAM,HARD,C2,2023,1.0,Saudi Arabian Grand Prix,7.0,1
102.172,1.0,1.1340000000000146,1.1340000000000146,0,0,GAS,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,8.0,1
103.306,1.0,1.1340000000000146,1.2580000000002656,0,0,LEC,SOFT,C4,2023,1.0,Saudi Arabian Grand Prix,9.0,1
104.564,1.0,1.2580000000002656,0.1299999999996544,0,0,ZHO,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,10.0,1
104.694,1.0,0.1299999999996544,0.05900000000019645,0,0,MAG,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,11.0,1
104.753,1.0,0.05900000000019645,0.46900000000005093,0,0,HUL,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,12.0,1
105.222,1.0,0.46900000000005093,0.3670000000001892,0,0,VER,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,13.0,1
105.589,1.0,0.3670000000001892,0.022999999999683496,0,0,TSU,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,14.0,1
105.612,1.0,0.022999999999683496,0.3730000000000473,0,0,BOT,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,15.0,1
105.985,1.0,0.3730000000000473,0.3380000000001928,0,0,ALB,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,16.0,1
106.323,1.0,0.3380000000001928,0.4169999999999163,0,0,NOR,SOFT,C4,2023,1.0,Saudi Arabian Grand Prix,17.0,1
106.74,1.0,0.4169999999999163,0.5140000000001237,0,0,DEV,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,18.0,1
107.254,1.0,0.5140000000001237,0.09799999999995634,1,0,PIA,MEDIUM,C3,2023,1.0,Saudi Arabian Grand Prix,19.0,1
107.264,1.0,0.09799999999995634,100.0,0,0,SAR,HARD,C2,2023,1.0,Saudi Arabian Grand Prix,20.0,1
95.567,2.0,100.0,0.7449999999998909,0,0,ALO,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,1.0,1
95.906,2.0,0.7449999999998909,1.6030000000000655,0,0,PER,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,2.0,1
96.114,2.0,1.6030000000000655,0.6510000000002947,0,0,RUS,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,3.0,1
96.324,2.0,0.6510000000002947,0.5789999999997235,0,0,STR,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,4.0,1
96.583,2.0,0.5789999999997235,1.2550000000001091,0,0,SAI,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,5.0,1
97.006,2.0,1.2550000000001091,0.974999999999909,0,0,OCO,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,6.0,1
97.188,2.0,0.974999999999909,1.0019999999999527,0,0,HAM,HARD,C2,2023,2.0,Saudi Arabian Grand Prix,7.0,1
97.056,2.0,1.0019999999999527,0.9850000000001273,0,0,GAS,MEDIUM,C3,2023,2.0,Saudi Arabian Grand Prix,8.0,1
