Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
ALB,95.923,94.735,94.868,92.664,Bahrain Grand Prix,2022
ALO,95.0,92.877,94.628,91.621,Bahrain Grand Prix,2022
BOT,,92.951,93.733,91.56,Bahrain Grand Prix,2022
GAS,94.193,93.621,94.176,91.635,Bahrain Grand Prix,2022
HAM,94.943,93.144,93.121,91.048,Bahrain Grand Prix,2022
HUL,95.815,94.061,93.971,92.777,Bahrain Grand Prix,2022
LAT,95.644,94.486,95.667,93.634,Bahrain Grand Prix,2022
LEC,94.557,92.023,92.64,90.558,Bahrain Grand Prix,2022
MAG,96.804,93.183,93.437,91.461,Bahrain Grand Prix,2022
MSC,96.536,93.085,94.295,91.998,Bahrain Grand Prix,2022
NOR,96.304,93.28,93.955,92.008,Bahrain Grand Prix,2022
OCO,95.151,93.36,94.957,91.782,Bahrain Grand Prix,2022
PER,95.05,92.958,92.791,90.921,Bahrain Grand Prix,2022
RIC,96.402,94.166,94.378,92.945,Bahrain Grand Prix,2022
RUS,94.629,92.529,92.935,91.252,Bahrain Grand Prix,2022
SAI,94.611,92.52,93.053,90.687,Bahrain Grand Prix,2022
STR,94.814,93.958,93.92,93.032,Bahrain Grand Prix,2022
TSU,95.028,93.789,,92.75,Bahrain Grand Prix,2022
VER,94.742,91.936,92.544,90.681,Bahrain Grand Prix,2022
ZHO,95.053,93.953,93.88,92.387,Bahrain Grand Prix,2022
ALB,93.087,91.866,91.374,90.492,Saudi Arabian Grand Prix,2022
ALO,92.381,90.944,90.296,89.147,Saudi Arabian Grand Prix,2022
BOT,91.084,90.832,90.03,89.183,Saudi Arabian Grand Prix,2022
GAS,91.317,90.963,90.148,89.254,Saudi Arabian Grand Prix,2022
HAM,92.364,90.513,90.707,90.343,Saudi Arabian Grand Prix,2022
HUL,93.034,91.615,91.424,90.543,Saudi Arabian Grand Prix,2022
LAT,93.529,91.814,91.992,91.817,Saudi Arabian Grand Prix,2022
LEC,90.772,90.074,89.735,88.225,Saudi Arabian Grand Prix,2022
MAG,124.638,92.344,90.262,89.546,Saudi Arabian Grand Prix,2022
MSC,94.429,91.169,90.765,89.92,Saudi Arabian Grand Prix,2022
NOR,92.594,90.735,91.529,89.651,Saudi Arabian Grand Prix,2022
OCO,92.026,90.76,90.139,89.068,Saudi Arabian Grand Prix,2022
PER,91.563,90.36,89.833,88.2,Saudi Arabian Grand Prix,2022
RIC,92.506,91.527,91.186,89.773,Saudi Arabian Grand Prix,2022
RUS,92.839,90.664,90.983,89.104,Saudi Arabian Grand Prix,2022
SAI,91.139,90.32,90.009,73.67,Saudi Arabian Grand Prix,2022
STR,92.582,91.372,91.067,90.256,Saudi Arabian Grand Prix,2022
TSU,91.505,90.886,90.415,,Saudi Arabian Grand Prix,2022
VER,90.888,90.214,89.768,88.461,Saudi Arabian Grand Prix,2022
ZHO,92.608,91.615,90.946,89.819,Saudi Arabian Grand Prix,2022
ALB,82.754,81.912,80.958,80.135,Australian Grand Prix,2022
ALO,81.229,79.537,79.275,78.815,Australian Grand Prix,2022
BOT,81.247,80.055,80.008,79.251,Australian Grand Prix,2022
GAS,81.701,80.142,80.133,79.226,Australian Grand Prix,2022
HAM,81.027,80.521,79.896,78.825,Australian Grand Prix,2022
LAT,83.924,82.307,81.05,81.372,Australian Grand Prix,2022
LEC,80.377,78.978,79.249,77.868,Australian Grand Prix,2022
MAG,83.186,81.191,81.025,80.254,Australian Grand Prix,2022
MSC,84.349,81.974,80.692,80.104,Australian Grand Prix,2022
NOR,80.878,80.1,79.117,78.703,Australian Grand Prix,2022
OCO,81.004,79.842,80.205,79.061,Australian Grand Prix,2022
PER,80.399,79.658,79.265,78.24,Australian Grand Prix,2022
