LapTime,LapNumber,Interval_front,Interval_behind,PitIn,PitOut,Driver,Compound,Compound_Detail,Year,TyreLife,GP,Position,TrackStatus
,3.0,0.8800000000001091,0.5749999999998181,0,0,PIA,MEDIUM,C2,2024,3.0,Japanese Grand Prix,6.0,1
,3.0,0.5749999999998181,0.6279999999997017,0,0,LEC,MEDIUM,C2,2024,2.0,Japanese Grand Prix,7.0,1
,3.0,0.6279999999997017,0.9070000000001528,0,0,HAM,HARD,C1,2024,2.0,Japanese Grand Prix,8.0,1
,3.0,0.9070000000001528,0.43100000000049477,0,0,TSU,SOFT,C3,2024,5.0,Japanese Grand Prix,9.0,1
,3.0,0.43100000000049477,0.8329999999996289,0,0,RUS,HARD,C1,2024,2.0,Japanese Grand Prix,10.0,1
140.237,3.0,0.8329999999996289,0.2920000000003711,0,0,OCO,HARD,C1,2024,2.0,Japanese Grand Prix,11.0,1
148.991,3.0,0.2920000000003711,0.5299999999997453,0,0,BOT,SOFT,C3,2024,3.0,Japanese Grand Prix,12.0,1
134.682,3.0,0.5299999999997453,0.47599999999965803,0,0,STR,SOFT,C3,2024,2.0,Japanese Grand Prix,13.0,1
138.362,3.0,0.47599999999965803,0.4180000000005748,0,0,GAS,HARD,C1,2024,2.0,Japanese Grand Prix,14.0,1
132.996,3.0,0.4180000000005748,0.23099999999976717,0,0,MAG,MEDIUM,C2,2024,2.0,Japanese Grand Prix,15.0,1
129.289,3.0,0.23099999999976717,0.5050000000001091,0,0,ZHO,SOFT,C3,2024,2.0,Japanese Grand Prix,16.0,1
,3.0,0.5050000000001091,1.1229999999995925,0,0,HUL,SOFT,C3,2024,3.0,Japanese Grand Prix,17.0,1
132.603,3.0,1.1229999999995925,100.0,0,0,SAR,HARD,C1,2024,2.0,Japanese Grand Prix,18.0,1
96.472,4.0,100.0,1.0919999999996435,0,0,VER,MEDIUM,C2,2024,4.0,Japanese Grand Prix,1.0,1
96.573,4.0,1.0919999999996435,1.1869999999998981,0,0,PER,MEDIUM,C2,2024,4.0,Japanese Grand Prix,2.0,1
96.853,4.0,1.1869999999998981,0.8389999999999418,0,0,NOR,MEDIUM,C2,2024,4.0,Japanese Grand Prix,3.0,1
97.225,4.0,0.8389999999999418,0.8339999999998327,0,0,SAI,MEDIUM,C2,2024,3.0,Japanese Grand Prix,4.0,1
97.453,4.0,0.8339999999998327,1.1610000000000582,0,0,ALO,SOFT,C3,2024,4.0,Japanese Grand Prix,5.0,1
97.734,4.0,1.1610000000000582,1.1090000000003783,0,0,PIA,MEDIUM,C2,2024,4.0,Japanese Grand Prix,6.0,1
98.268,4.0,1.1090000000003783,0.6629999999995562,0,0,LEC,MEDIUM,C2,2024,3.0,Japanese Grand Prix,7.0,1
98.303,4.0,0.6629999999995562,1.7120000000004438,0,0,HAM,HARD,C1,2024,3.0,Japanese Grand Prix,8.0,1
99.108,4.0,1.7120000000004438,0.29899999999997817,0,0,TSU,SOFT,C3,2024,6.0,Japanese Grand Prix,9.0,1
98.976,4.0,0.29899999999997817,1.3980000000001382,0,0,RUS,HARD,C1,2024,3.0,Japanese Grand Prix,10.0,1
99.541,4.0,1.3980000000001382,0.21299999999973807,0,0,OCO,HARD,C1,2024,3.0,Japanese Grand Prix,11.0,1
99.462,4.0,0.21299999999973807,0.5960000000004584,0,0,BOT,SOFT,C3,2024,4.0,Japanese Grand Prix,12.0,1
99.528,4.0,0.5960000000004584,0.8729999999995925,0,0,STR,SOFT,C3,2024,3.0,Japanese Grand Prix,13.0,1
99.925,4.0,0.8729999999995925,0.5960000000004584,0,0,GAS,HARD,C1,2024,3.0,Japanese Grand Prix,14.0,1
100.103,4.0,0.5960000000004584,0.35599999999976717,0,0,MAG,MEDIUM,C2,2024,3.0,Japanese Grand Prix,15.0,1
100.228,4.0,0.35599999999976717,0.6509999999998399,0,0,ZHO,SOFT,C3,2024,3.0,Japanese Grand Prix,16.0,1
100.374,4.0,0.6509999999998399,1.1729999999997744,0,0,HUL,SOFT,C3,2024,4.0,Japanese Grand Prix,17.0,1
100.424,4.0,1.1729999999997744,100.0,0,0,SAR,HARD,C1,2024,3.0,Japanese Grand Prix,18.0,1
96.437,5.0,100.0,1.2229999999999563,0,0,VER,MEDIUM,C2,2024,5.0,Japanese Grand Prix,1.0,1
96.568,5.0,1.2229999999999563,1.4790000000002692,0,0,PER,MEDIUM,C2,2024,5.0,Japanese Grand Prix,2.0,1
96.86,5.0,1.4790000000002692,1.3009999999994761,0,0,NOR,MEDIUM,C2,2024,5.0,Japanese Grand Prix,3.0,1
97.322,5.0,1.3009999999994761,1.043999999999869,0,0,SAI,MEDIUM,C2,2024,4.0,Japanese Grand Prix,4.0,1
97.532,5.0,1.043999999999869,1.2600000000002183,0,0,ALO,SOFT,C3,2024,5.0,Japanese Grand Prix,5.0,1
97.631,5.0,1.2600000000002183,1.2899999999999636,0,0,PIA,MEDIUM,C2,2024,5.0,Japanese Grand Prix,6.0,1
97.812,5.0,1.2899999999999636,0.9899999999997817,0,0,LEC,MEDIUM,C2,2024,4.0,Japanese Grand Prix,7.0,1
98.139,5.0,0.9899999999997817,1.6090000000003783,0,0,HAM,HARD,C1,2024,4.0,Japanese Grand Prix,8.0,1
97.737,5.0,1.6090000000003783,1.4719999999997526,0,0,RUS,HARD,C1,2024,4.0,Japanese Grand Prix,9.0,1
99.508,5.0,1.4719999999997526,0.6810000000004948,0,0,TSU,SOFT,C3,2024,7.0,Japanese Grand Prix,10.0,1
98.279,5.0,0.6810000000004948,1.5889999999999418,0,0,BOT,SOFT,C3,2024,5.0,Japanese Grand Prix,11.0,1
100.081,5.0,1.5889999999999418,0.27999999999974534,0,0,OCO,HARD,C1,2024,4.0,Japanese Grand Prix,12.0,1
99.552,5.0,0.27999999999974534,0.793999999999869,0,0,STR,SOFT,C3,2024,4.0,Japanese Grand Prix,13.0,1
99.473,5.0,0.793999999999869,0.5150000000003274,0,0,GAS,HARD,C1,2024,4.0,Japanese Grand Prix,14.0,1
99.392,5.0,0.5150000000003274,0.5609999999996944,0,0,MAG,MEDIUM,C2,2024,4.0,Japanese Grand Prix,15.0,1
99.597,5.0,0.5609999999996944,1.8950000000004366,0,0,ZHO,SOFT,C3,2024,4.0,Japanese Grand Prix,16.0,1
99.668,5.0,1.8950000000004366,0.6499999999996362,0,0,SAR,HARD,C1,2024,4.0,Japanese Grand Prix,17.0,1
101.491,5.0,0.6499999999996362,100.0,1,0,HUL,SOFT,C3,2024,5.0,Japanese Grand Prix,18.0,1
96.855,6.0,100.0,2.061000000000604,0,0,VER,MEDIUM,C2,2024,6.0,Japanese Grand Prix,1.0,1
97.693,6.0,2.061000000000604,1.6859999999996944,0,0,PER,MEDIUM,C2,2024,6.0,Japanese Grand Prix,2.0,1
97.9,6.0,1.6859999999996944,1.1220000000002983,0,0,NOR,MEDIUM,C2,2024,6.0,Japanese Grand Prix,3.0,1
97.721,6.0,1.1220000000002983,1.183999999999287,0,0,SAI,MEDIUM,C2,2024,5.0,Japanese Grand Prix,4.0,1
97.861,6.0,1.183999999999287,1.5399999999999636,0,0,ALO,SOFT,C3,2024,6.0,Japanese Grand Prix,5.0,1
98.141,6.0,1.5399999999999636,1.1700000000000728,0,0,PIA,MEDIUM,C2,2024,6.0,Japanese Grand Prix,6.0,1
98.021,6.0,1.1700000000000728,1.1590000000005602,0,0,LEC,MEDIUM,C2,2024,5.0,Japanese Grand Prix,7.0,1
98.19,6.0,1.1590000000005602,1.8109999999996944,0,0,HAM,HARD,C1,2024,5.0,Japanese Grand Prix,8.0,1
98.392,6.0,1.8109999999996944,1.9669999999996435,0,0,RUS,HARD,C1,2024,5.0,Japanese Grand Prix,9.0,1
98.887,6.0,1.9669999999996435,2.4090000000005602,0,0,TSU,SOFT,C3,2024,8.0,Japanese Grand Prix,10.0,1
98.746,6.0,2.4090000000005602,0.6729999999997744,0,0,STR,SOFT,C3,2024,5.0,Japanese Grand Prix,11.0,1
101.288,6.0,0.6729999999997744,0.7970000000004802,1,0,BOT,SOFT,C3,2024,6.0,Japanese Grand Prix,12.0,1
100.496,6.0,0.7970000000004802,0.8350000000000364,0,0,OCO,HARD,C1,2024,5.0,Japanese Grand Prix,13.0,1
100.257,6.0,0.8350000000000364,0.28399999999965075,0,0,GAS,HARD,C1,2024,5.0,Japanese Grand Prix,14.0,1
100.026,6.0,0.28399999999965075,0.5259999999998399,0,0,MAG,MEDIUM,C2,2024,5.0,Japanese Grand Prix,15.0,1
99.991,6.0,0.5259999999998399,1.4859999999998763,0,0,ZHO,SOFT,C3,2024,5.0,Japanese Grand Prix,16.0,1
99.582,6.0,1.4859999999998763,18.342999999999847,0,0,SAR,HARD,C1,2024,5.0,Japanese Grand Prix,17.0,1
117.275,6.0,18.342999999999847,100.0,0,1,HUL,HARD,C1,2024,1.0,Japanese Grand Prix,18.0,1
96.97,7.0,100.0,2.399000000000342,0,0,VER,MEDIUM,C2,2024,7.0,Japanese Grand Prix,1.0,1
97.308,7.0,2.399000000000342,2.119999999999891,0,0,PER,MEDIUM,C2,2024,7.0,Japanese Grand Prix,2.0,1
97.742,7.0,2.119999999999891,1.1359999999995125,0,0,NOR,MEDIUM,C2,2024,7.0,Japanese Grand Prix,3.0,1
97.756,7.0,1.1359999999995125,1.6310000000003129,0,0,SAI,MEDIUM,C2,2024,6.0,Japanese Grand Prix,4.0,1
98.203,7.0,1.6310000000003129,1.5280000000002474,0,0,ALO,SOFT,C3,2024,7.0,Japanese Grand Prix,5.0,1
98.191,7.0,1.5280000000002474,1.1659999999992579,0,0,PIA,MEDIUM,C2,2024,7.0,Japanese Grand Prix,6.0,1
98.187,7.0,1.1659999999992579,1.3460000000004584,0,0,LEC,MEDIUM,C2,2024,6.0,Japanese Grand Prix,7.0,1
98.374,7.0,1.3460000000004584,1.506999999999607,0,0,HAM,HARD,C1,2024,6.0,Japanese Grand Prix,8.0,1
98.07,7.0,1.506999999999607,4.895000000000437,0,0,RUS,HARD,C1,2024,6.0,Japanese Grand Prix,9.0,1
100.998,7.0,4.895000000000437,0.03499999999985448,1,0,TSU,SOFT,C3,2024,9.0,Japanese Grand Prix,10.0,1
98.624,7.0,0.03499999999985448,2.5900000000001455,0,0,STR,SOFT,C3,2024,6.0,Japanese Grand Prix,11.0,1
99.744,7.0,2.5900000000001455,1.3389999999999418,0,0,OCO,HARD,C1,2024,6.0,Japanese Grand Prix,12.0,1
100.248,7.0,1.3389999999999418,0.3930000000000291,0,0,GAS,HARD,C1,2024,6.0,Japanese Grand Prix,13.0,1
100.357,7.0,0.3930000000000291,1.7100000000000364,0,0,MAG,MEDIUM,C2,2024,6.0,Japanese Grand Prix,14.0,1
100.055,7.0,1.7100000000000364,1.332999999999629,0,0,SAR,HARD,C1,2024,6.0,Japanese Grand Prix,15.0,1
102.874,7.0,1.332999999999629,12.13300000000072,1,0,ZHO,SOFT,C3,2024,6.0,Japanese Grand Prix,16.0,1
117.449,7.0,12.13300000000072,1.5729999999994106,0,1,BOT,HARD,C1,2024,1.0,Japanese Grand Prix,17.0,1
96.751,7.0,1.5729999999994106,100.0,0,0,HUL,HARD,C1,2024,2.0,Japanese Grand Prix,18.0,1
97.329,8.0,100.0,2.2899999999999636,0,0,VER,MEDIUM,C2,2024,8.0,Japanese Grand Prix,1.0,1
97.22,8.0,2.2899999999999636,2.72400000000016,0,0,PER,MEDIUM,C2,2024,8.0,Japanese Grand Prix,2.0,1
97.824,8.0,2.72400000000016,1.0479999999997744,0,0,NOR,MEDIUM,C2,2024,8.0,Japanese Grand Prix,3.0,1
97.736,8.0,1.0479999999997744,2.3560000000006767,0,0,SAI,MEDIUM,C2,2024,7.0,Japanese Grand Prix,4.0,1
98.461,8.0,2.3560000000006767,1.28899999999976,0,0,ALO,SOFT,C3,2024,8.0,Japanese Grand Prix,5.0,1
98.222,8.0,1.28899999999976,0.863999999999578,0,0,PIA,MEDIUM,C2,2024,8.0,Japanese Grand Prix,6.0,1
97.92,8.0,0.863999999999578,1.5219999999999345,0,0,LEC,MEDIUM,C2,2024,7.0,Japanese Grand Prix,7.0,1
98.096,8.0,1.5219999999999345,1.6030000000000655,0,0,HAM,HARD,C1,2024,7.0,Japanese Grand Prix,8.0,1
98.192,8.0,1.6030000000000655,5.347999999999956,0,0,RUS,HARD,C1,2024,7.0,Japanese Grand Prix,9.0,1
98.61,8.0,5.347999999999956,3.9890000000004875,0,0,STR,SOFT,C3,2024,7.0,Japanese Grand Prix,10.0,1
100.009,8.0,3.9890000000004875,1.3239999999996144,0,0,OCO,HARD,C1,2024,7.0,Japanese Grand Prix,11.0,1
99.601,8.0,1.3239999999996144,1.3690000000005966,0,0,MAG,MEDIUM,C2,2024,7.0,Japanese Grand Prix,12.0,1
101.363,8.0,1.3690000000005966,0.39499999999952706,0,0,GAS,HARD,C1,2024,7.0,Japanese Grand Prix,13.0,1
99.655,8.0,0.39499999999952706,10.516999999999825,0,0,SAR,HARD,C1,2024,7.0,Japanese Grand Prix,14.0,1
96.706,8.0,10.516999999999825,1.805000000000291,0,0,BOT,HARD,C1,2024,2.0,Japanese Grand Prix,15.0,1
118.044,8.0,1.805000000000291,0.6779999999998836,0,1,TSU,HARD,C1,2024,1.0,Japanese Grand Prix,16.0,1
97.616,8.0,0.6779999999998836,7.079999999999927,0,0,HUL,HARD,C1,2024,3.0,Japanese Grand Prix,17.0,1
118.402,8.0,7.079999999999927,100.0,0,1,ZHO,HARD,C1,2024,1.0,Japanese Grand Prix,18.0,1
97.178,9.0,100.0,2.9500000000007276,0,0,VER,MEDIUM,C2,2024,9.0,Japanese Grand Prix,1.0,1
97.838,9.0,2.9500000000007276,2.8489999999992506,0,0,PER,MEDIUM,C2,2024,9.0,Japanese Grand Prix,2.0,1
97.963,9.0,2.8489999999992506,1.0650000000005093,0,0,NOR,MEDIUM,C2,2024,9.0,Japanese Grand Prix,3.0,1
97.98,9.0,1.0650000000005093,3.2600000000002183,0,0,SAI,MEDIUM,C2,2024,8.0,Japanese Grand Prix,4.0,1
98.884,9.0,3.2600000000002183,0.9049999999997453,0,0,ALO,SOFT,C3,2024,9.0,Japanese Grand Prix,5.0,1
98.5,9.0,0.9049999999997453,0.5770000000002256,0,0,PIA,MEDIUM,C2,2024,9.0,Japanese Grand Prix,6.0,1
98.213,9.0,0.5770000000002256,1.8419999999996435,0,0,LEC,MEDIUM,C2,2024,8.0,Japanese Grand Prix,7.0,1
98.533,9.0,1.8419999999996435,1.3230000000003201,0,0,HAM,HARD,C1,2024,8.0,Japanese Grand Prix,8.0,1
98.253,9.0,1.3230000000003201,5.975999999999658,0,0,RUS,HARD,C1,2024,8.0,Japanese Grand Prix,9.0,1
98.881,9.0,5.975999999999658,5.402000000000044,0,0,STR,SOFT,C3,2024,8.0,Japanese Grand Prix,10.0,1
100.294,9.0,5.402000000000044,1.280999999999949,0,0,OCO,HARD,C1,2024,8.0,Japanese Grand Prix,11.0,1
100.251,9.0,1.280999999999949,1.8980000000001382,0,0,MAG,MEDIUM,C2,2024,8.0,Japanese Grand Prix,12.0,1
100.78,9.0,1.8980000000001382,0.4859999999998763,0,0,GAS,HARD,C1,2024,8.0,Japanese Grand Prix,13.0,1
100.871,9.0,0.4859999999998763,7.05199999999968,0,0,SAR,HARD,C1,2024,8.0,Japanese Grand Prix,14.0,1
97.406,9.0,7.05199999999968,1.5690000000004147,0,0,BOT,HARD,C1,2024,3.0,Japanese Grand Prix,15.0,1
97.17,9.0,1.5690000000004147,1.405999999999949,0,0,TSU,HARD,C1,2024,2.0,Japanese Grand Prix,16.0,1
97.898,9.0,1.405999999999949,6.3419999999996435,0,0,HUL,HARD,C1,2024,4.0,Japanese Grand Prix,17.0,1
97.16,9.0,6.3419999999996435,100.0,0,0,ZHO,HARD,C1,2024,2.0,Japanese Grand Prix,18.0,1
97.59,10.0,100.0,3.286000000000058,0,0,VER,MEDIUM,C2,2024,10.0,Japanese Grand Prix,1.0,1
97.926,10.0,3.286000000000058,3.081000000000131,0,0,PER,MEDIUM,C2,2024,10.0,Japanese Grand Prix,2.0,1
98.158,10.0,3.081000000000131,1.21100000000024,0,0,NOR,MEDIUM,C2,2024,10.0,Japanese Grand Prix,3.0,1
98.304,10.0,1.21100000000024,3.73700000000008,0,0,SAI,MEDIUM,C2,2024,9.0,Japanese Grand Prix,4.0,1
98.781,10.0,3.73700000000008,1.1349999999993088,0,0,ALO,SOFT,C3,2024,10.0,Japanese Grand Prix,5.0,1
99.011,10.0,1.1349999999993088,0.6000000000003638,0,0,PIA,MEDIUM,C2,2024,10.0,Japanese Grand Prix,6.0,1
99.034,10.0,0.6000000000003638,1.511000000000422,0,0,LEC,MEDIUM,C2,2024,9.0,Japanese Grand Prix,7.0,1
98.703,10.0,1.511000000000422,0.9879999999993743,0,0,HAM,HARD,C1,2024,9.0,Japanese Grand Prix,8.0,1
98.368,10.0,0.9879999999993743,6.6599999999998545,0,0,RUS,HARD,C1,2024,9.0,Japanese Grand Prix,9.0,1
99.052,10.0,6.6599999999998545,6.665000000000873,0,0,STR,SOFT,C3,2024,9.0,Japanese Grand Prix,10.0,1
100.315,10.0,6.665000000000873,1.1429999999991196,0,0,OCO,HARD,C1,2024,9.0,Japanese Grand Prix,11.0,1
100.177,10.0,1.1429999999991196,2.8380000000006476,0,0,MAG,MEDIUM,C2,2024,9.0,Japanese Grand Prix,12.0,1
101.117,10.0,2.8380000000006476,0.2849999999998545,0,0,GAS,HARD,C1,2024,9.0,Japanese Grand Prix,13.0,1
100.916,10.0,0.2849999999998545,3.5869999999995343,0,0,SAR,HARD,C1,2024,9.0,Japanese Grand Prix,14.0,1
97.451,10.0,3.5869999999995343,1.6140000000004875,0,0,BOT,HARD,C1,2024,4.0,Japanese Grand Prix,15.0,1
97.496,10.0,1.6140000000004875,2.25,0,0,TSU,HARD,C1,2024,3.0,Japanese Grand Prix,16.0,1
98.34,10.0,2.25,5.501999999999498,0,0,HUL,HARD,C1,2024,5.0,Japanese Grand Prix,17.0,1
97.5,10.0,5.501999999999498,100.0,0,0,ZHO,HARD,C1,2024,3.0,Japanese Grand Prix,18.0,1
97.774,11.0,100.0,3.7280000000000655,0,0,VER,MEDIUM,C2,2024,11.0,Japanese Grand Prix,1.0,1
98.216,11.0,3.7280000000000655,4.34900000000016,0,0,PER,MEDIUM,C2,2024,11.0,Japanese Grand Prix,2.0,1
98.273,11.0,4.34900000000016,1.27599999999984,0,0,SAI,MEDIUM,C2,2024,10.0,Japanese Grand Prix,3.0,1
100.76,11.0,1.27599999999984,3.1309999999994034,1,0,NOR,MEDIUM,C2,2024,11.0,Japanese Grand Prix,4.0,1
98.943,11.0,3.1309999999994034,1.4370000000008076,0,0,ALO,SOFT,C3,2024,11.0,Japanese Grand Prix,5.0,1
99.245,11.0,1.4370000000008076,0.5479999999997744,0,0,PIA,MEDIUM,C2,2024,11.0,Japanese Grand Prix,6.0,1
99.193,11.0,0.5479999999997744,1.6099999999996726,0,0,LEC,MEDIUM,C2,2024,10.0,Japanese Grand Prix,7.0,1
99.292,11.0,1.6099999999996726,0.6450000000004366,0,0,HAM,HARD,C1,2024,10.0,Japanese Grand Prix,8.0,1
98.949,11.0,0.6450000000004366,6.813999999999396,0,0,RUS,HARD,C1,2024,10.0,Japanese Grand Prix,9.0,1
99.103,11.0,6.813999999999396,7.932999999999993,0,0,STR,SOFT,C3,2024,10.0,Japanese Grand Prix,10.0,1
100.371,11.0,7.932999999999993,0.6720000000004802,0,0,OCO,HARD,C1,2024,10.0,Japanese Grand Prix,11.0,1
99.9,11.0,0.6720000000004802,2.5709999999999127,0,0,MAG,MEDIUM,C2,2024,10.0,Japanese Grand Prix,12.0,1
99.348,11.0,2.5709999999999127,1.9949999999998909,0,0,SAR,HARD,C1,2024,10.0,Japanese Grand Prix,13.0,1
101.628,11.0,1.9949999999998909,0.6760000000003856,0,0,GAS,HARD,C1,2024,10.0,Japanese Grand Prix,14.0,1
98.432,11.0,0.6760000000003856,1.076999999999316,0,0,BOT,HARD,C1,2024,5.0,Japanese Grand Prix,15.0,1
97.895,11.0,1.076999999999316,2.7070000000003347,0,0,TSU,HARD,C1,2024,4.0,Japanese Grand Prix,16.0,1
98.352,11.0,2.7070000000003347,8.266999999999825,0,0,HUL,HARD,C1,2024,6.0,Japanese Grand Prix,17.0,1
101.117,11.0,8.266999999999825,100.0,1,0,ZHO,HARD,C1,2024,4.0,Japanese Grand Prix,18.0,1
97.753,12.0,100.0,4.131000000000313,0,0,VER,MEDIUM,C2,2024,12.0,Japanese Grand Prix,1.0,1
98.156,12.0,4.131000000000313,4.039999999999964,0,0,PER,MEDIUM,C2,2024,12.0,Japanese Grand Prix,2.0,1
97.847,12.0,4.039999999999964,5.304000000000087,0,0,SAI,MEDIUM,C2,2024,11.0,Japanese Grand Prix,3.0,1
98.744,12.0,5.304000000000087,2.1239999999997963,0,0,ALO,SOFT,C3,2024,12.0,Japanese Grand Prix,4.0,1
98.883,12.0,2.1239999999997963,1.6520000000000437,0,0,LEC,MEDIUM,C2,2024,11.0,Japanese Grand Prix,5.0,1
101.083,12.0,1.6520000000000437,0.27700000000004366,1,0,PIA,MEDIUM,C2,2024,12.0,Japanese Grand Prix,6.0,1
99.202,12.0,0.27700000000004366,0.6549999999997453,0,0,HAM,HARD,C1,2024,11.0,Japanese Grand Prix,7.0,1
99.212,12.0,0.6549999999997453,9.0600000000004,0,0,RUS,HARD,C1,2024,11.0,Japanese Grand Prix,8.0,1
115.643,12.0,9.0600000000004,0.17999999999938154,0,1,NOR,HARD,C1,2024,1.0,Japanese Grand Prix,9.0,1
101.638,12.0,0.17999999999938154,6.855000000000473,1,0,STR,SOFT,C3,2024,11.0,Japanese Grand Prix,10.0,1
100.56,12.0,6.855000000000473,0.3720000000002983,0,0,OCO,HARD,C1,2024,11.0,Japanese Grand Prix,11.0,1
100.26,12.0,0.3720000000002983,2.2219999999997526,0,0,MAG,MEDIUM,C2,2024,11.0,Japanese Grand Prix,12.0,1
99.911,12.0,2.2219999999997526,3.1909999999998035,0,0,SAR,HARD,C1,2024,11.0,Japanese Grand Prix,13.0,1
101.107,12.0,3.1909999999998035,0.2600000000002183,0,0,GAS,HARD,C1,2024,11.0,Japanese Grand Prix,14.0,1
