LapTime,LapNumber,Interval_front,Interval_behind,PitIn,PitOut,Driver,Compound,Compound_Detail,Year,TyreLife,GP,Position,TrackStatus
118.245,1.0,100.0,0.0,0,0,VER,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,1.0,124
,1.0,0.0,1.29300000000012,0,0,MAZ,MEDIUM,C3,2021,1.0,Bahrain Grand Prix,,124
119.538,1.0,1.29300000000012,3.1599999999998545,0,0,HAM,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,2.0,124
122.698,1.0,3.1599999999998545,1.0740000000000691,0,0,LEC,SOFT,C4,2021,4.0,Bahrain Grand Prix,3.0,124
123.772,1.0,1.0740000000000691,0.9249999999997272,0,0,BOT,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,4.0,124
124.697,1.0,0.9249999999997272,2.0470000000000255,0,0,GAS,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,5.0,124
126.744,1.0,2.0470000000000255,1.8010000000003856,0,0,NOR,SOFT,C4,2021,4.0,Bahrain Grand Prix,6.0,124
128.545,1.0,1.8010000000003856,1.8279999999999745,0,0,RIC,SOFT,C4,2021,4.0,Bahrain Grand Prix,7.0,124
130.373,1.0,1.8279999999999745,2.0229999999996835,0,0,ALO,SOFT,C4,2021,4.0,Bahrain Grand Prix,8.0,124
132.396,1.0,2.0229999999996835,1.8859999999999673,0,0,STR,SOFT,C4,2021,4.0,Bahrain Grand Prix,9.0,124
134.282,1.0,1.8859999999999673,2.0900000000001455,0,0,SAI,SOFT,C4,2021,4.0,Bahrain Grand Prix,10.0,124
136.372,1.0,2.0900000000001455,1.9900000000002365,0,0,RAI,MEDIUM,C3,2021,1.0,Bahrain Grand Prix,11.0,124
138.362,1.0,1.9900000000002365,1.5039999999999054,0,0,GIO,MEDIUM,C3,2021,1.0,Bahrain Grand Prix,12.0,124
139.866,1.0,1.5039999999999054,1.93100000000004,0,0,OCO,SOFT,C4,2021,1.0,Bahrain Grand Prix,13.0,124
141.797,1.0,1.93100000000004,0.7049999999999272,0,0,VET,MEDIUM,C3,2021,1.0,Bahrain Grand Prix,14.0,124
142.502,1.0,0.7049999999999272,1.86200000000008,0,0,TSU,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,15.0,124
144.364,1.0,1.86200000000008,0.8550000000000182,0,0,RUS,SOFT,C4,2021,1.0,Bahrain Grand Prix,16.0,124
145.219,1.0,0.8550000000000182,1.3049999999998363,0,0,LAT,SOFT,C4,2021,1.0,Bahrain Grand Prix,17.0,124
146.524,1.0,1.3049999999998363,1.4050000000002,0,0,MSC,MEDIUM,C3,2021,1.0,Bahrain Grand Prix,18.0,124
147.951,1.0,1.4050000000002,100.0,0,1,PER,MEDIUM,C3,2021,4.0,Bahrain Grand Prix,19.0,124
142.406,2.0,100.0,1.59900000000016,0,0,VER,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,1.0,4
142.712,2.0,1.59900000000016,1.6309999999998581,0,0,HAM,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,2.0,4
141.183,2.0,1.6309999999998581,1.3690000000001419,0,0,LEC,SOFT,C4,2021,5.0,Bahrain Grand Prix,3.0,4
141.478,2.0,1.3690000000001419,1.7100000000000364,0,0,BOT,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,4.0,4
142.263,2.0,1.7100000000000364,0.7829999999999018,0,0,GAS,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,5.0,4
140.999,2.0,0.7829999999999018,1.44399999999996,0,0,NOR,SOFT,C4,2021,5.0,Bahrain Grand Prix,6.0,4
140.642,2.0,1.44399999999996,0.9619999999999891,0,0,RIC,SOFT,C4,2021,5.0,Bahrain Grand Prix,7.0,4
139.776,2.0,0.9619999999999891,1.849999999999909,0,0,ALO,SOFT,C4,2021,5.0,Bahrain Grand Prix,8.0,4
139.603,2.0,1.849999999999909,1.3530000000000655,0,0,STR,SOFT,C4,2021,5.0,Bahrain Grand Prix,9.0,4
139.07,2.0,1.3530000000000655,3.01299999999992,0,0,SAI,SOFT,C4,2021,5.0,Bahrain Grand Prix,10.0,4
139.993,2.0,3.01299999999992,0.8760000000002037,0,0,RAI,MEDIUM,C3,2021,2.0,Bahrain Grand Prix,11.0,4
138.879,2.0,0.8760000000002037,1.4459999999999127,0,0,GIO,MEDIUM,C3,2021,2.0,Bahrain Grand Prix,12.0,4
138.821,2.0,1.4459999999999127,1.4039999999999964,0,0,OCO,SOFT,C4,2021,2.0,Bahrain Grand Prix,13.0,4
138.294,2.0,1.4039999999999964,0.93100000000004,0,0,VET,MEDIUM,C3,2021,2.0,Bahrain Grand Prix,14.0,4
138.52,2.0,0.93100000000004,2.3359999999997854,0,0,TSU,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,15.0,4
138.994,2.0,2.3359999999997854,1.2770000000000437,0,0,RUS,SOFT,C4,2021,2.0,Bahrain Grand Prix,16.0,4
139.416,2.0,1.2770000000000437,1.4410000000002583,0,0,LAT,SOFT,C4,2021,2.0,Bahrain Grand Prix,17.0,4
139.552,2.0,1.4410000000002583,2.518999999999778,0,0,MSC,MEDIUM,C3,2021,2.0,Bahrain Grand Prix,18.0,4
140.666,2.0,2.518999999999778,100.0,1,0,PER,MEDIUM,C3,2021,5.0,Bahrain Grand Prix,19.0,4
,3.0,100.0,0.2780000000002474,0,0,VER,MEDIUM,C3,2021,6.0,Bahrain Grand Prix,1.0,41
,3.0,0.2780000000002474,0.15200000000004366,0,0,HAM,MEDIUM,C3,2021,6.0,Bahrain Grand Prix,2.0,41
,3.0,0.15200000000004366,0.3890000000001237,0,0,LEC,SOFT,C4,2021,6.0,Bahrain Grand Prix,3.0,41
,3.0,0.3890000000001237,0.11499999999978172,0,0,BOT,MEDIUM,C3,2021,6.0,Bahrain Grand Prix,4.0,41
,3.0,0.11499999999978172,0.15799999999990177,0,0,GAS,MEDIUM,C3,2021,6.0,Bahrain Grand Prix,5.0,41
,3.0,0.15799999999990177,0.46900000000005093,0,0,NOR,SOFT,C4,2021,6.0,Bahrain Grand Prix,6.0,41
,3.0,0.46900000000005093,0.5920000000000982,0,0,RIC,SOFT,C4,2021,6.0,Bahrain Grand Prix,7.0,41
,3.0,0.5920000000000982,0.250999999999749,0,0,ALO,SOFT,C4,2021,6.0,Bahrain Grand Prix,8.0,41
