Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
VER,77.24,76.447,76.366,74.746,Emilia Romagna Grand Prix,2024
ZHO,79.129,77.606,77.891,76.834,Emilia Romagna Grand Prix,2024
ALB,73.425,72.257,72.18,70.948,Monaco Grand Prix,2024
ALO,72.775,71.753,72.087,72.019,Monaco Grand Prix,2024
BOT,73.248,73.057,86.364,72.512,Monaco Grand Prix,2024
GAS,75.574,72.75,72.144,70.896,Monaco Grand Prix,2024
HAM,72.169,71.466,71.71,70.621,Monaco Grand Prix,2024
HUL,73.576,72.569,72.192,71.44,Monaco Grand Prix,2024
LEC,72.397,71.278,71.369,70.27,Monaco Grand Prix,2024
MAG,73.39,72.473,72.216,71.725,Monaco Grand Prix,2024
NOR,72.396,71.953,71.988,70.542,Monaco Grand Prix,2024
OCO,74.159,72.554,72.472,71.285,Monaco Grand Prix,2024
PER,73.229,72.099,71.923,72.06,Monaco Grand Prix,2024
PIA,72.198,72.366,71.901,70.424,Monaco Grand Prix,2024
RIC,72.901,72.577,72.829,71.482,Monaco Grand Prix,2024
RUS,72.295,72.26,71.968,70.543,Monaco Grand Prix,2024
SAI,72.954,71.962,71.979,70.518,Monaco Grand Prix,2024
SAR,74.15,72.79,72.703,72.02,Monaco Grand Prix,2024
STR,72.789,72.062,72.331,71.563,Monaco Grand Prix,2024
TSU,72.875,72.349,71.991,70.858,Monaco Grand Prix,2024
VER,72.984,71.813,71.566,70.567,Monaco Grand Prix,2024
ZHO,74.57,73.773,73.83,73.028,Monaco Grand Prix,2024
ALB,107.907,76.977,73.88,72.485,Canadian Grand Prix,2024
ALO,93.411,75.81,73.34,72.228,Canadian Grand Prix,2024
BOT,87.67,77.817,73.642,73.366,Canadian Grand Prix,2024
DOO,126.267,,,,Canadian Grand Prix,2024
GAS,87.584,80.789,73.737,72.94,Canadian Grand Prix,2024
HAM,85.97,76.908,72.549,71.979,Canadian Grand Prix,2024
HUL,92.826,77.903,73.777,73.978,Canadian Grand Prix,2024
LEC,85.306,76.556,73.349,72.691,Canadian Grand Prix,2024
MAG,89.052,76.773,73.439,72.916,Canadian Grand Prix,2024
NOR,84.435,80.843,73.293,72.021,Canadian Grand Prix,2024
OCO,,77.417,74.075,73.435,Canadian Grand Prix,2024
PER,88.058,77.041,73.342,73.326,Canadian Grand Prix,2024
PIA,86.754,79.008,73.266,72.103,Canadian Grand Prix,2024
RIC,88.582,76.731,73.279,72.178,Canadian Grand Prix,2024
RUS,88.541,76.273,72.957,71.742,Canadian Grand Prix,2024
SAI,84.763,77.722,73.57,72.728,Canadian Grand Prix,2024
SAR,96.586,77.496,73.663,72.736,Canadian Grand Prix,2024
STR,100.53,76.464,73.026,72.659,Canadian Grand Prix,2024
TSU,88.723,76.951,73.716,72.303,Canadian Grand Prix,2024
VER,86.502,79.311,72.923,72.0,Canadian Grand Prix,2024
ZHO,107.363,79.087,78.656,74.292,Canadian Grand Prix,2024
ALB,75.417,74.807,73.753,73.153,Spanish Grand Prix,2024
ALO,75.222,74.091,73.786,72.128,Spanish Grand Prix,2024
BEA,75.865,,,,Spanish Grand Prix,2024
BOT,75.472,73.924,74.024,72.227,Spanish Grand Prix,2024
GAS,75.484,73.443,73.964,71.857,Spanish Grand Prix,2024
HAM,74.911,73.264,73.359,71.701,Spanish Grand Prix,2024
HUL,,74.053,73.975,72.31,Spanish Grand Prix,2024
LEC,75.434,73.597,73.05,71.731,Spanish Grand Prix,2024
MAG,75.644,74.021,74.074,72.937,Spanish Grand Prix,2024
NOR,74.228,73.319,73.043,71.383,Spanish Grand Prix,2024
OCO,75.086,73.766,73.95,72.109,Spanish Grand Prix,2024
PER,74.692,74.081,73.723,72.054,Spanish Grand Prix,2024
PIA,74.867,73.622,73.907,72.011,Spanish Grand Prix,2024
RIC,75.58,74.257,74.161,73.075,Spanish Grand Prix,2024
RUS,74.614,73.722,73.164,71.703,Spanish Grand Prix,2024
SAI,74.572,73.286,73.013,71.736,Spanish Grand Prix,2024
SAR,75.752,75.07,74.729,73.509,Spanish Grand Prix,2024
STR,75.512,74.402,74.254,72.372,Spanish Grand Prix,2024
TSU,75.916,74.211,74.42,72.985,Spanish Grand Prix,2024
VER,74.252,73.504,73.087,71.403,Spanish Grand Prix,2024
ZHO,75.616,74.345,74.572,72.738,Spanish Grand Prix,2024
ALB,88.649,87.645,99.603,86.64,British Grand Prix,2024
ALO,87.794,87.372,98.94,86.73,British Grand Prix,2024
BEA,88.536,,,,British Grand Prix,2024
BOT,88.254,87.381,100.242,92.431,British Grand Prix,2024
COL,89.078,,,,British Grand Prix,2024
DOO,88.735,,,,British Grand Prix,2024
GAS,,87.732,,99.804,British Grand Prix,2024
HAD,89.27,,,,British Grand Prix,2024
HAM,87.858,87.202,97.564,85.99,British Grand Prix,2024
HUL,88.082,86.99,99.34,86.338,British Grand Prix,2024
LEC,87.903,87.15,98.454,87.097,British Grand Prix,2024
MAG,,88.122,100.539,92.905,British Grand Prix,2024
NOR,87.42,86.549,97.714,86.03,British Grand Prix,2024
OCO,87.974,87.743,100.43,94.557,British Grand Prix,2024
PER,,86.983,99.284,98.348,British Grand Prix,2024
PIA,87.631,86.88,96.654,86.237,British Grand Prix,2024
RIC,88.477,87.916,100.823,87.949,British Grand Prix,2024
RUS,87.738,87.294,97.529,85.819,British Grand Prix,2024
SAI,87.925,87.249,98.139,86.509,British Grand Prix,2024
SAR,,87.809,99.702,87.175,British Grand Prix,2024
STR,87.554,87.274,99.7,86.585,British Grand Prix,2024
TSU,89.864,87.745,99.82,87.269,British Grand Prix,2024
VER,87.729,87.233,98.393,86.203,British Grand Prix,2024
ZHO,88.59,87.813,101.785,87.867,British Grand Prix,2024
ALB,79.794,78.514,76.661,76.429,Hungarian Grand Prix,2024
ALO,79.686,78.519,77.001,76.043,Hungarian Grand Prix,2024
BEA,80.371,,,,Hungarian Grand Prix,2024
BOT,79.804,78.586,76.804,76.384,Hungarian Grand Prix,2024
GAS,79.976,78.888,77.499,78.166,Hungarian Grand Prix,2024
HAM,79.287,78.363,76.786,75.854,Hungarian Grand Prix,2024
HUL,,78.791,76.696,76.317,Hungarian Grand Prix,2024
LEC,79.011,79.286,76.803,75.891,Hungarian Grand Prix,2024
MAG,80.295,78.315,77.507,76.548,Hungarian Grand Prix,2024
NOR,79.211,77.788,76.098,75.227,Hungarian Grand Prix,2024
OCO,80.023,78.754,77.575,78.049,Hungarian Grand Prix,2024
PER,79.44,78.255,76.954,77.886,Hungarian Grand Prix,2024
PIA,79.249,78.618,76.142,75.249,Hungarian Grand Prix,2024
RIC,79.578,78.371,76.652,76.202,Hungarian Grand Prix,2024
RUS,79.137,78.294,76.564,77.968,Hungarian Grand Prix,2024
SAI,78.713,78.185,76.639,75.696,Hungarian Grand Prix,2024
SAR,79.885,78.611,77.168,76.543,Hungarian Grand Prix,2024
STR,79.265,79.179,77.085,76.075,Hungarian Grand Prix,2024
TSU,79.26,79.606,76.744,76.121,Hungarian Grand Prix,2024
VER,78.989,78.031,76.379,75.273,Hungarian Grand Prix,2024
ZHO,79.18,80.067,77.291,78.037,Hungarian Grand Prix,2024
ALB,104.099,103.892,127.443,114.473,Belgian Grand Prix,2024
ALO,104.921,103.538,128.071,114.258,Belgian Grand Prix,2024
BOT,105.155,103.675,126.492,114.764,Belgian Grand Prix,2024
GAS,104.833,103.829,123.175,114.635,Belgian Grand Prix,2024
HAM,104.279,103.519,126.751,113.835,Belgian Grand Prix,2024
HUL,105.645,103.846,128.04,116.308,Belgian Grand Prix,2024
LEC,104.306,102.837,126.033,113.754,Belgian Grand Prix,2024
MAG,105.812,103.485,135.163,116.5,Belgian Grand Prix,2024
NOR,104.415,102.26,123.372,113.981,Belgian Grand Prix,2024
OCO,,103.401,125.25,114.46,Belgian Grand Prix,2024
PER,104.329,103.504,127.103,113.765,Belgian Grand Prix,2024
PIA,103.903,102.475,122.998,114.027,Belgian Grand Prix,2024
RIC,104.95,103.823,128.41,114.682,Belgian Grand Prix,2024
RUS,104.225,103.29,133.645,114.095,Belgian Grand Prix,2024
SAI,104.574,103.098,,114.112,Belgian Grand Prix,2024
SAR,105.311,104.226,131.22,117.23,Belgian Grand Prix,2024
STR,104.699,103.532,126.037,115.716,Belgian Grand Prix,2024
TSU,105.564,104.348,129.444,116.593,Belgian Grand Prix,2024
VER,103.372,102.477,121.565,113.159,Belgian Grand Prix,2024
ZHO,105.995,104.302,131.109,117.775,Belgian Grand Prix,2024
ALB,73.159,71.55,84.007,70.653,Dutch Grand Prix,2024
ALO,74.467,71.357,81.461,70.633,Dutch Grand Prix,2024
BOT,,72.206,81.155,72.168,Dutch Grand Prix,2024
GAS,82.036,71.644,80.311,70.815,Dutch Grand Prix,2024
HAM,73.006,70.813,84.098,70.948,Dutch Grand Prix,2024
HUL,73.563,73.296,82.354,71.215,Dutch Grand Prix,2024
LEC,74.306,71.443,84.158,70.582,Dutch Grand Prix,2024
MAG,73.597,71.43,80.45,71.295,Dutch Grand Prix,2024
NOR,72.322,70.961,81.387,69.673,Dutch Grand Prix,2024
OCO,75.796,72.061,81.643,71.995,Dutch Grand Prix,2024
PER,74.279,71.581,,70.416,Dutch Grand Prix,2024
PIA,73.23,70.763,81.85,70.172,Dutch Grand Prix,2024
RIC,76.231,71.63,85.433,71.943,Dutch Grand Prix,2024
RUS,73.142,70.702,83.958,70.244,Dutch Grand Prix,2024
SAI,73.074,73.108,82.589,70.914,Dutch Grand Prix,2024
SAR,75.605,71.818,83.287,,Dutch Grand Prix,2024
SHW,74.658,,,,Dutch Grand Prix,2024
STR,74.151,71.576,81.941,70.661,Dutch Grand Prix,2024
TSU,74.418,71.374,,70.955,Dutch Grand Prix,2024
VER,72.523,70.986,84.36,70.029,Dutch Grand Prix,2024
ZHO,73.965,71.934,83.24,73.261,Dutch Grand Prix,2024
ALB,82.22,81.592,80.596,80.299,Italian Grand Prix,2024
ALO,82.315,81.316,80.968,80.421,Italian Grand Prix,2024
ANT,83.955,,,,Italian Grand Prix,2024
BOT,82.127,81.461,81.357,81.101,Italian Grand Prix,2024
COL,82.88,81.784,80.905,81.061,Italian Grand Prix,2024
GAS,82.763,81.819,81.155,80.738,Italian Grand Prix,2024
HAM,82.214,80.738,80.117,79.513,Italian Grand Prix,2024
HUL,83.157,81.14,80.943,80.339,Italian Grand Prix,2024
LEC,81.904,80.892,80.226,79.461,Italian Grand Prix,2024
MAG,82.572,81.499,81.208,80.698,Italian Grand Prix,2024
NOR,81.917,80.741,80.262,79.327,Italian Grand Prix,2024
OCO,82.88,81.867,81.258,80.764,Italian Grand Prix,2024
PER,82.311,81.678,81.287,80.062,Italian Grand Prix,2024
PIA,82.199,80.858,80.252,79.436,Italian Grand Prix,2024
RIC,82.605,81.3,81.077,80.479,Italian Grand Prix,2024
RUS,,81.086,80.21,79.44,Italian Grand Prix,2024
SAI,82.126,80.841,80.463,79.467,Italian Grand Prix,2024
STR,82.864,81.363,81.157,81.013,Italian Grand Prix,2024
TSU,82.714,81.735,81.141,80.945,Italian Grand Prix,2024
VER,81.676,81.61,80.368,79.662,Italian Grand Prix,2024
ZHO,82.854,82.223,82.035,81.445,Italian Grand Prix,2024
ALB,107.955,104.737,103.194,102.84,Azerbaijan Grand Prix,2024
ALO,106.452,104.683,103.474,102.369,Azerbaijan Grand Prix,2024
BEA,106.973,104.547,,102.968,Azerbaijan Grand Prix,2024
BOT,107.64,104.785,104.187,103.618,Azerbaijan Grand Prix,2024
COL,107.901,104.749,103.238,102.473,Azerbaijan Grand Prix,2024
GAS,108.712,105.391,103.876,103.088,Azerbaijan Grand Prix,2024
HAM,105.859,103.55,103.301,102.289,Azerbaijan Grand Prix,2024
HUL,107.135,104.475,104.164,103.101,Azerbaijan Grand Prix,2024
LEC,106.608,103.484,102.527,101.365,Azerbaijan Grand Prix,2024
NOR,106.027,105.156,102.737,103.609,Azerbaijan Grand Prix,2024
OCO,,105.81,,104.504,Azerbaijan Grand Prix,2024
PER,105.922,103.49,103.024,101.813,Azerbaijan Grand Prix,2024
PIA,106.282,103.983,102.749,101.686,Azerbaijan Grand Prix,2024
RIC,106.687,105.056,103.87,103.547,Azerbaijan Grand Prix,2024
RUS,106.516,104.536,102.514,101.874,Azerbaijan Grand Prix,2024
SAI,106.173,103.95,102.968,101.805,Azerbaijan Grand Prix,2024
STR,107.184,104.093,103.571,103.37,Azerbaijan Grand Prix,2024
TSU,107.708,104.645,103.503,103.035,Azerbaijan Grand Prix,2024
VER,105.546,104.029,102.862,102.023,Azerbaijan Grand Prix,2024
ZHO,109.052,105.947,104.869,104.246,Azerbaijan Grand Prix,2024
ALB,92.451,91.65,90.949,90.474,Singapore Grand Prix,2024
ALO,92.61,91.75,91.082,90.214,Singapore Grand Prix,2024
BOT,93.485,92.786,92.098,91.572,Singapore Grand Prix,2024
COL,92.618,92.057,90.989,90.481,Singapore Grand Prix,2024
GAS,92.694,92.222,91.367,91.312,Singapore Grand Prix,2024
HAM,92.679,91.709,90.864,89.841,Singapore Grand Prix,2024
HUL,93.797,91.667,91.187,90.115,Singapore Grand Prix,2024
LEC,91.763,90.785,90.559,89.747,Singapore Grand Prix,2024
MAG,93.377,91.793,91.265,90.653,Singapore Grand Prix,2024
NOR,91.839,90.727,89.646,89.525,Singapore Grand Prix,2024
OCO,92.615,92.119,91.559,90.769,Singapore Grand Prix,2024
PER,92.767,91.598,91.44,90.579,Singapore Grand Prix,2024
PIA,92.369,91.474,90.431,89.64,Singapore Grand Prix,2024
RIC,92.375,91.478,91.561,91.085,Singapore Grand Prix,2024
RUS,93.334,91.488,90.125,89.867,Singapore Grand Prix,2024
SAI,91.952,91.356,90.807,90.108,Singapore Grand Prix,2024
STR,92.778,91.957,91.719,91.094,Singapore Grand Prix,2024
TSU,92.263,91.468,91.114,90.289,Singapore Grand Prix,2024
VER,92.097,92.021,90.54,89.68,Singapore Grand Prix,2024
ZHO,93.585,92.359,92.652,92.054,Singapore Grand Prix,2024
ALB,79.812,,77.511,76.988,Mexico City Grand Prix,2024
ALO,,78.579,77.798,77.168,Mexico City Grand Prix,2024
ANT,79.2,,,,Mexico City Grand Prix,2024
BEA,81.256,,,,Mexico City Grand Prix,2024
BOT,79.048,78.351,77.639,77.393,Mexico City Grand Prix,2024
COL,79.109,78.908,77.712,77.558,Mexico City Grand Prix,2024
DRU,79.819,,,,Mexico City Grand Prix,2024
GAS,79.34,78.942,78.454,76.892,Mexico City Grand Prix,2024
HAM,,78.279,77.06,76.651,Mexico City Grand Prix,2024
HUL,78.904,78.621,77.819,76.995,Mexico City Grand Prix,2024
LAW,79.093,78.56,77.494,77.162,Mexico City Grand Prix,2024
LEC,,77.887,77.232,76.265,Mexico City Grand Prix,2024
MAG,79.335,78.239,77.474,76.886,Mexico City Grand Prix,2024
NOR,,77.948,76.551,76.26,Mexico City Grand Prix,2024
OCO,78.996,78.656,78.324,77.617,Mexico City Grand Prix,2024
OWA,79.295,,,,Mexico City Grand Prix,2024
PER,79.094,78.392,77.787,77.611,Mexico City Grand Prix,2024
PIA,78.958,77.877,76.492,77.597,Mexico City Grand Prix,2024
RUS,77.998,79.041,77.341,76.356,Mexico City Grand Prix,2024
SAI,78.315,77.699,76.832,75.946,Mexico City Grand Prix,2024
SHW,79.988,,,,Mexico City Grand Prix,2024
STR,79.6,78.89,77.9,77.294,Mexico City Grand Prix,2024
TSU,78.699,77.878,77.302,77.129,Mexico City Grand Prix,2024
VER,78.839,88.234,77.003,76.171,Mexico City Grand Prix,2024
ZHO,,78.98,78.428,78.072,Mexico City Grand Prix,2024
ALB,96.948,99.629,94.407,94.425,Las Vegas Grand Prix,2024
ALO,96.262,95.44,95.938,94.258,Las Vegas Grand Prix,2024
BOT,97.765,95.02,96.412,94.43,Las Vegas Grand Prix,2024
COL,98.025,95.868,94.723,93.746,Las Vegas Grand Prix,2024
GAS,96.478,94.651,94.905,92.664,Las Vegas Grand Prix,2024
HAM,95.001,93.825,94.341,92.567,Las Vegas Grand Prix,2024
HUL,97.2,94.818,94.908,93.062,Las Vegas Grand Prix,2024
LAW,98.73,95.671,96.544,94.087,Las Vegas Grand Prix,2024
LEC,96.007,94.313,94.941,92.783,Las Vegas Grand Prix,2024
MAG,96.811,94.686,94.883,93.297,Las Vegas Grand Prix,2024
NOR,95.954,93.836,94.008,93.008,Las Vegas Grand Prix,2024
OCO,97.152,95.221,95.46,93.221,Las Vegas Grand Prix,2024
PER,96.536,96.055,95.061,94.155,Las Vegas Grand Prix,2024
PIA,96.451,94.798,93.785,93.024,Las Vegas Grand Prix,2024
RUS,95.397,94.015,93.57,92.312,Las Vegas Grand Prix,2024
SAI,96.218,94.105,93.918,92.41,Las Vegas Grand Prix,2024
STR,96.817,95.251,96.95,94.484,Las Vegas Grand Prix,2024
TSU,98.574,94.997,96.215,93.029,Las Vegas Grand Prix,2024
VER,96.038,95.834,94.137,92.797,Las Vegas Grand Prix,2024
ZHO,98.35,95.765,96.988,93.566,Las Vegas Grand Prix,2024
ALB,,84.269,84.378,83.821,Abu Dhabi Grand Prix,2024
ALO,85.504,84.574,84.453,83.196,Abu Dhabi Grand Prix,2024
BOT,85.611,84.23,84.479,83.204,Abu Dhabi Grand Prix,2024
BRO,86.519,,,,Abu Dhabi Grand Prix,2024
COL,85.382,85.265,84.766,83.912,Abu Dhabi Grand Prix,2024
DOO,86.304,84.961,84.434,84.105,Abu Dhabi Grand Prix,2024
DRU,85.471,,,,Abu Dhabi Grand Prix,2024
GAS,85.333,84.517,84.408,82.984,Abu Dhabi Grand Prix,2024
HAD,85.877,,,,Abu Dhabi Grand Prix,2024
HAM,84.806,84.119,83.823,83.887,Abu Dhabi Grand Prix,2024
HIR,85.874,,,,Abu Dhabi Grand Prix,2024
HUL,85.373,83.979,84.093,82.886,Abu Dhabi Grand Prix,2024
IWA,86.121,,,,Abu Dhabi Grand Prix,2024
LAW,85.563,84.503,84.519,83.472,Abu Dhabi Grand Prix,2024
LEC,84.321,84.201,84.098,82.98,Abu Dhabi Grand Prix,2024
LEL,86.179,,,,Abu Dhabi Grand Prix,2024
MAG,85.444,84.235,84.094,83.632,Abu Dhabi Grand Prix,2024
NOR,84.542,83.517,83.626,82.595,Abu Dhabi Grand Prix,2024
PER,85.483,84.555,84.283,83.264,Abu Dhabi Grand Prix,2024
PIA,,83.751,83.433,82.804,Abu Dhabi Grand Prix,2024
RUS,85.165,84.534,84.075,83.132,Abu Dhabi Grand Prix,2024
SAI,,84.099,83.871,82.824,Abu Dhabi Grand Prix,2024
STR,,84.686,84.531,83.729,Abu Dhabi Grand Prix,2024
TSU,,84.497,84.343,83.419,Abu Dhabi Grand Prix,2024
VER,,84.598,83.844,82.945,Abu Dhabi Grand Prix,2024
ZHO,85.921,84.557,84.668,83.88,Abu Dhabi Grand Prix,2024
