Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
ALB,93.583,91.333,91.965,90.221,Bahrain Grand Prix,2024
ALO,93.193,90.66,90.965,89.542,Bahrain Grand Prix,2024
BOT,93.354,92.001,92.096,90.756,Bahrain Grand Prix,2024
GAS,95.144,91.951,92.382,90.948,Bahrain Grand Prix,2024
HAM,93.302,90.374,91.452,89.71,Bahrain Grand Prix,2024
HUL,97.938,90.884,91.278,89.851,Bahrain Grand Prix,2024
LEC,93.268,91.113,91.094,89.165,Bahrain Grand Prix,2024
MAG,97.477,91.764,91.671,90.529,Bahrain Grand Prix,2024
NOR,92.901,92.608,91.118,89.614,Bahrain Grand Prix,2024
OCO,94.807,92.027,92.124,90.793,Bahrain Grand Prix,2024
PER,93.413,91.115,91.248,89.537,Bahrain Grand Prix,2024
PIA,93.113,90.784,91.21,89.683,Bahrain Grand Prix,2024
RIC,92.869,91.516,91.449,90.278,Bahrain Grand Prix,2024
RUS,93.251,90.58,91.19,89.485,Bahrain Grand Prix,2024
SAI,93.385,90.769,90.824,89.507,Bahrain Grand Prix,2024
SAR,94.213,91.715,92.125,90.77,Bahrain Grand Prix,2024
STR,93.868,90.891,91.396,89.965,Bahrain Grand Prix,2024
TSU,93.183,91.881,91.631,90.129,Bahrain Grand Prix,2024
VER,93.238,90.851,91.062,89.179,Bahrain Grand Prix,2024
ZHO,93.923,92.048,92.0,90.757,Bahrain Grand Prix,2024
ALB,90.747,89.789,89.808,88.98,Saudi Arabian Grand Prix,2024
ALO,89.845,88.827,89.038,87.846,Saudi Arabian Grand Prix,2024
BEA,,,89.306,88.642,Saudi Arabian Grand Prix,2024
BOT,90.783,90.153,90.083,89.179,Saudi Arabian Grand Prix,2024
GAS,91.046,89.528,89.546,89.479,Saudi Arabian Grand Prix,2024
HAM,90.236,89.504,89.268,88.46,Saudi Arabian Grand Prix,2024
HUL,91.411,90.077,89.675,89.055,Saudi Arabian Grand Prix,2024
LEC,90.03,89.18,88.608,87.791,Saudi Arabian Grand Prix,2024
MAG,91.577,89.985,89.485,89.02,Saudi Arabian Grand Prix,2024
NOR,90.231,89.758,88.971,88.132,Saudi Arabian Grand Prix,2024
OCO,90.945,89.901,89.575,89.475,Saudi Arabian Grand Prix,2024
PER,89.868,89.3,88.906,87.807,Saudi Arabian Grand Prix,2024
PIA,90.977,89.594,89.213,88.089,Saudi Arabian Grand Prix,2024
RIC,90.917,90.088,89.74,89.025,Saudi Arabian Grand Prix,2024
RUS,89.939,89.057,88.964,88.316,Saudi Arabian Grand Prix,2024
SAI,90.164,89.455,,,Saudi Arabian Grand Prix,2024
SAR,90.966,89.934,147.994,89.526,Saudi Arabian Grand Prix,2024
STR,90.58,89.336,89.127,88.25,Saudi Arabian Grand Prix,2024
TSU,91.036,89.666,89.572,88.547,Saudi Arabian Grand Prix,2024
VER,89.659,89.158,88.412,87.472,Saudi Arabian Grand Prix,2024
ZHO,91.131,89.777,90.739,121.101,Saudi Arabian Grand Prix,2024
ALB,79.443,,77.759,77.13,Australian Grand Prix,2024
ALO,79.716,77.912,76.997,76.71,Australian Grand Prix,2024
BOT,80.014,78.585,77.752,77.34,Australian Grand Prix,2024
GAS,79.622,78.691,78.39,77.982,Australian Grand Prix,2024
HAM,78.771,78.834,76.806,76.96,Australian Grand Prix,2024
HUL,79.604,78.702,77.941,77.976,Australian Grand Prix,2024
LEC,78.599,77.277,76.714,76.304,Australian Grand Prix,2024
MAG,79.489,79.275,77.961,77.427,Australian Grand Prix,2024
NOR,78.564,78.155,77.49,76.315,Australian Grand Prix,2024
OCO,79.561,78.705,77.92,77.617,Australian Grand Prix,2024
PER,78.642,78.09,77.014,76.274,Australian Grand Prix,2024
PIA,78.918,78.077,77.087,76.572,Australian Grand Prix,2024
RIC,79.274,78.534,77.963,77.466,Australian Grand Prix,2024
RUS,78.597,77.951,76.886,76.724,Australian Grand Prix,2024
SAI,78.686,77.707,76.791,76.185,Australian Grand Prix,2024
SAR,79.519,78.578,,,Australian Grand Prix,2024
STR,78.667,77.822,77.341,76.78,Australian Grand Prix,2024
TSU,78.621,78.188,77.673,76.788,Australian Grand Prix,2024
VER,78.582,77.658,76.734,75.915,Australian Grand Prix,2024
ZHO,79.989,78.421,77.876,78.188,Australian Grand Prix,2024
ALB,91.943,123.821,90.533,89.714,Japanese Grand Prix,2024
ALO,90.599,,90.082,88.686,Japanese Grand Prix,2024
BOT,92.054,116.059,90.546,89.593,Japanese Grand Prix,2024
GAS,92.277,,91.141,90.119,Japanese Grand Prix,2024
HAM,90.543,95.226,90.037,88.766,Japanese Grand Prix,2024
HUL,91.958,109.473,91.139,89.494,Japanese Grand Prix,2024
IWA,92.103,,,,Japanese Grand Prix,2024
LEC,90.558,98.76,90.383,88.786,Japanese Grand Prix,2024
MAG,92.803,,91.462,90.131,Japanese Grand Prix,2024
NOR,91.24,104.977,90.137,88.489,Japanese Grand Prix,2024
OCO,91.935,119.113,91.022,89.811,Japanese Grand Prix,2024
PER,90.237,,89.832,88.263,Japanese Grand Prix,2024
PIA,91.165,94.725,90.226,88.76,Japanese Grand Prix,2024
RIC,,101.913,90.682,89.472,Japanese Grand Prix,2024
RUS,90.53,,89.918,89.008,Japanese Grand Prix,2024
SAI,90.269,112.579,90.171,88.682,Japanese Grand Prix,2024
SAR,93.204,,91.452,90.139,Japanese Grand Prix,2024
STR,92.055,,91.342,90.024,Japanese Grand Prix,2024
TSU,91.23,100.946,90.341,89.413,Japanese Grand Prix,2024
VER,90.056,,89.563,88.197,Japanese Grand Prix,2024
ZHO,92.638,123.317,91.067,90.143,Japanese Grand Prix,2024
ALB,80.05,77.135,76.47,76.2,Emilia Romagna Grand Prix,2024
ALO,77.867,76.838,77.339,76.917,Emilia Romagna Grand Prix,2024
BEA,78.667,,,,Emilia Romagna Grand Prix,2024
BOT,78.827,77.088,76.695,76.626,Emilia Romagna Grand Prix,2024
GAS,77.905,77.064,77.361,76.015,Emilia Romagna Grand Prix,2024
HAM,77.408,76.297,76.96,75.504,Emilia Romagna Grand Prix,2024
HUL,81.059,76.826,76.547,75.569,Emilia Romagna Grand Prix,2024
LEC,76.99,75.906,76.087,74.97,Emilia Romagna Grand Prix,2024
MAG,,77.129,76.923,76.854,Emilia Romagna Grand Prix,2024
NOR,77.602,76.98,75.829,74.837,Emilia Romagna Grand Prix,2024
OCO,78.612,77.008,76.481,75.906,Emilia Romagna Grand Prix,2024
PER,77.233,76.552,76.631,75.706,Emilia Romagna Grand Prix,2024
PIA,77.807,76.098,75.529,74.82,Emilia Romagna Grand Prix,2024
RIC,78.142,76.967,76.56,75.674,Emilia Romagna Grand Prix,2024
RUS,77.094,76.311,76.095,75.234,Emilia Romagna Grand Prix,2024
SAI,77.12,76.423,76.067,75.233,Emilia Romagna Grand Prix,2024
SAR,79.901,77.848,76.794,76.731,Emilia Romagna Grand Prix,2024
STR,78.072,76.991,76.543,75.992,Emilia Romagna Grand Prix,2024
TSU,77.388,76.286,76.668,75.358,Emilia Romagna Grand Prix,2024
