Driver,Coef,GP,Year
VER,0.0,Saudi Arabian Grand Prix,2023
ALB,2.2201736828832437,Saudi Arabian Grand Prix,2023
ALO,1.1369546580240635,Saudi Arabian Grand Prix,2023
BOT,1.4456806079982798,Saudi Arabian Grand Prix,2023
DEV,1.7666028535569684,Saudi Arabian Grand Prix,2023
GAS,1.5193397732077278,Saudi Arabian Grand Prix,2023
GIO,1.7849601860928632,Saudi Arabian Grand Prix,2023
HAM,0.6660039670364435,Saudi Arabian Grand Prix,2023
HUL,1.9279329127472509,Saudi Arabian Grand Prix,2023
LAT,2.8669465893487773,Saudi Arabian Grand Prix,2023
LEC,0.32030440656080106,Saudi Arabian Grand Prix,2023
MAG,1.377712506799134,Saudi Arabian Grand Prix,2023
MAZ,4.158963407676487,Saudi Arabian Grand Prix,2023
MSC,2.8904091225065147,Saudi Arabian Grand Prix,2023
NOR,1.4880326010499334,Saudi Arabian Grand Prix,2023
OCO,1.3130672628183844,Saudi Arabian Grand Prix,2023
PER,0.034218882708037635,Saudi Arabian Grand Prix,2023
PIA,1.9750287362400867,Saudi Arabian Grand Prix,2023
RAI,2.20615626891136,Saudi Arabian Grand Prix,2023
RIC,1.3645685811427823,Saudi Arabian Grand Prix,2023
RUS,0.868816620782457,Saudi Arabian Grand Prix,2023
SAI,0.5672336048480688,Saudi Arabian Grand Prix,2023
SAR,1.7761628369235642,Saudi Arabian Grand Prix,2023
STR,1.8916427686044044,Saudi Arabian Grand Prix,2023
TSU,1.5521205566727192,Saudi Arabian Grand Prix,2023
VET,2.3245564125126923,Saudi Arabian Grand Prix,2023
ZHO,1.687505043305872,Saudi Arabian Grand Prix,2023
VER,0.0,Azerbaijan Grand Prix,2023
ALB,1.663851461002868,Azerbaijan Grand Prix,2023
ALO,1.245924720765665,Azerbaijan Grand Prix,2023
BOT,2.0275922262810977,Azerbaijan Grand Prix,2023
DEV,1.9185928625941102,Azerbaijan Grand Prix,2023
GAS,1.3981621752319977,Azerbaijan Grand Prix,2023
GIO,1.734947163754853,Azerbaijan Grand Prix,2023
HAM,0.8867674542008609,Azerbaijan Grand Prix,2023
HUL,1.7931727113662956,Azerbaijan Grand Prix,2023
LAT,2.978415926861702,Azerbaijan Grand Prix,2023
LEC,0.5993349996204596,Azerbaijan Grand Prix,2023
MAG,1.808642839732745,Azerbaijan Grand Prix,2023
MAZ,3.55153588367475,Azerbaijan Grand Prix,2023
MSC,2.611651094775456,Azerbaijan Grand Prix,2023
NOR,1.3110474526332705,Azerbaijan Grand Prix,2023
OCO,1.782987082731324,Azerbaijan Grand Prix,2023
PER,0.1752362285124095,Azerbaijan Grand Prix,2023
PIA,1.7738383326417333,Azerbaijan Grand Prix,2023
RAI,1.991988394820651,Azerbaijan Grand Prix,2023
RIC,1.4907126127684658,Azerbaijan Grand Prix,2023
RUS,1.4062852045880148,Azerbaijan Grand Prix,2023
SAI,0.9974380069434139,Azerbaijan Grand Prix,2023
SAR,2.1893799498081683,Azerbaijan Grand Prix,2023
STR,1.500990949935972,Azerbaijan Grand Prix,2023
TSU,1.4113605827729376,Azerbaijan Grand Prix,2023
VET,1.215536631139851,Azerbaijan Grand Prix,2023
ZHO,2.001524921000851,Azerbaijan Grand Prix,2023
VER,0.0,Bahrain Grand Prix,2023
ALB,2.1109405446261573,Bahrain Grand Prix,2023
ALO,1.0529483326150957,Bahrain Grand Prix,2023
BOT,0.82777186651462,Bahrain Grand Prix,2023
DEV,1.894530632274854,Bahrain Grand Prix,2023
GAS,1.2171858174201744,Bahrain Grand Prix,2023
GIO,1.4285317303008167,Bahrain Grand Prix,2023
HAM,0.27214050081386504,Bahrain Grand Prix,2023
HUL,2.24984964748938,Bahrain Grand Prix,2023
LAT,3.1396693437682477,Bahrain Grand Prix,2023
LEC,0.48246930419901995,Bahrain Grand Prix,2023
MAG,1.6155651907588189,Bahrain Grand Prix,2023
MSC,2.44331759357126,Bahrain Grand Prix,2023
NOR,1.411572021743644,Bahrain Grand Prix,2023
OCO,1.4318439975954387,Bahrain Grand Prix,2023
PER,0.14212175464879462,Bahrain Grand Prix,2023
PIA,2.2422741030051916,Bahrain Grand Prix,2023
RAI,1.3543182894115169,Bahrain Grand Prix,2023
RIC,1.7388153127660324,Bahrain Grand Prix,2023
RUS,1.0934929042590633,Bahrain Grand Prix,2023
SAI,0.7115087778599223,Bahrain Grand Prix,2023
SAR,1.735005732863182,Bahrain Grand Prix,2023
STR,1.4428550390813677,Bahrain Grand Prix,2023
TSU,1.266849503559127,Bahrain Grand Prix,2023
VET,1.6722729223283168,Bahrain Grand Prix,2023
ZHO,1.4516729934533674,Bahrain Grand Prix,2023
VER,0.0,Australian Grand Prix,2023
ALB,0.8529626983083192,Australian Grand Prix,2023
ALO,0.5868676796446464,Australian Grand Prix,2023
BOT,1.2533998619760287,Australian Grand Prix,2023
DEV,1.6387843233527575,Australian Grand Prix,2023
GAS,0.5906938930565185,Australian Grand Prix,2023
HAM,0.1423862408920006,Australian Grand Prix,2023
HUL,0.6119977556519439,Australian Grand Prix,2023
LAT,1.7945306365882547,Australian Grand Prix,2023
LEC,-0.7533123251452984,Australian Grand Prix,2023
MAG,1.1282086497866886,Australian Grand Prix,2023
MSC,1.055923990697288,Australian Grand Prix,2023
NOR,0.5583312588721738,Australian Grand Prix,2023
OCO,0.7547176499782905,Australian Grand Prix,2023
PER,0.08197718046351873,Australian Grand Prix,2023
PIA,1.0266785639406941,Australian Grand Prix,2023
RIC,0.6404805066773138,Australian Grand Prix,2023
RUS,-0.09262914229238785,Australian Grand Prix,2023
SAI,0.02294618611393019,Australian Grand Prix,2023
SAR,1.6683049235718816,Australian Grand Prix,2023
STR,0.8870821874301268,Australian Grand Prix,2023
TSU,1.3840655832212614,Australian Grand Prix,2023
VET,1.3091089795280098,Australian Grand Prix,2023
ZHO,1.1022863486888546,Australian Grand Prix,2023
VER,0.0,Miami Grand Prix,2023
ALB,1.4515396257623667,Miami Grand Prix,2023
ALO,1.0525784658790047,Miami Grand Prix,2023
BOT,1.2795913979083013,Miami Grand Prix,2023
DEV,1.7307453115401277,Miami Grand Prix,2023
GAS,1.3039607470028605,Miami Grand Prix,2023
HAM,0.9537887503695499,Miami Grand Prix,2023
HUL,1.3868346030760828,Miami Grand Prix,2023
LAT,2.678590034767751,Miami Grand Prix,2023
LEC,0.583158885273153,Miami Grand Prix,2023
MAG,1.3017830024962151,Miami Grand Prix,2023
MSC,1.3468534387885915,Miami Grand Prix,2023
NOR,1.5252020549231275,Miami Grand Prix,2023
OCO,1.3571041364607819,Miami Grand Prix,2023
