Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
HAM,72.995,72.074,72.02,71.095,Monaco Grand Prix,2021
LAT,74.268,73.593,73.475,72.366,Monaco Grand Prix,2021
LEC,79.618,71.684,71.552,70.346,Monaco Grand Prix,2021
MAZ,74.616,74.407,73.39,72.958,Monaco Grand Prix,2021
MSC,74.801,74.416,73.139,,Monaco Grand Prix,2021
NOR,73.236,72.379,71.988,70.62,Monaco Grand Prix,2021
OCO,74.32,73.199,73.614,71.486,Monaco Grand Prix,2021
PER,72.487,72.708,71.817,71.019,Monaco Grand Prix,2021
RAI,74.081,73.065,72.298,71.642,Monaco Grand Prix,2021
RIC,74.281,73.257,72.959,71.598,Monaco Grand Prix,2021
RUS,74.84,73.509,73.447,71.83,Monaco Grand Prix,2021
SAI,72.606,71.796,71.341,70.611,Monaco Grand Prix,2021
STR,74.09,73.195,72.7,71.6,Monaco Grand Prix,2021
TSU,73.746,74.829,73.522,72.096,Monaco Grand Prix,2021
VER,72.648,72.081,71.294,70.576,Monaco Grand Prix,2021
VET,73.732,72.982,72.537,71.309,Monaco Grand Prix,2021
ALO,104.777,102.693,103.08,102.195,Azerbaijan Grand Prix,2021
BOT,104.891,104.184,103.745,102.106,Azerbaijan Grand Prix,2021
GAS,103.757,102.534,102.251,101.565,Azerbaijan Grand Prix,2021
GIO,105.092,102.941,104.113,,Azerbaijan Grand Prix,2021
HAM,103.893,103.156,102.697,101.45,Azerbaijan Grand Prix,2021
LAT,105.774,106.983,104.054,103.128,Azerbaijan Grand Prix,2021
LEC,103.227,102.436,102.778,101.218,Azerbaijan Grand Prix,2021
MAZ,106.945,105.563,105.711,104.238,Azerbaijan Grand Prix,2021
MSC,106.899,106.095,105.282,104.158,Azerbaijan Grand Prix,2021
NOR,103.996,103.018,103.011,101.747,Azerbaijan Grand Prix,2021
OCO,105.446,103.02,103.294,102.273,Azerbaijan Grand Prix,2021
PER,103.63,102.115,102.595,101.63,Azerbaijan Grand Prix,2021
RAI,104.943,103.22,103.826,102.587,Azerbaijan Grand Prix,2021
RIC,103.732,103.298,103.557,102.304,Azerbaijan Grand Prix,2021
RUS,105.452,104.557,104.434,102.728,Azerbaijan Grand Prix,2021
SAI,103.521,102.243,103.006,101.576,Azerbaijan Grand Prix,2021
STR,105.234,103.812,103.682,,Azerbaijan Grand Prix,2021
TSU,105.384,103.13,103.244,101.654,Azerbaijan Grand Prix,2021
VER,103.184,102.216,103.984,101.563,Azerbaijan Grand Prix,2021
VET,105.415,103.881,103.585,102.224,Azerbaijan Grand Prix,2021
ALO,94.693,93.34,92.624,91.34,French Grand Prix,2021
BOT,93.448,92.88,92.047,90.376,French Grand Prix,2021
GAS,94.699,93.696,92.707,90.868,French Grand Prix,2021
GIO,95.116,93.831,93.017,91.813,French Grand Prix,2021
HAM,93.783,93.125,92.266,90.248,French Grand Prix,2021
LAT,95.612,95.331,93.584,93.062,French Grand Prix,2021
LEC,94.95,93.55,92.82,90.987,French Grand Prix,2021
MAZ,96.651,95.551,94.642,93.554,French Grand Prix,2021
MSC,97.329,95.512,94.143,92.942,French Grand Prix,2021
NIS,97.881,,,,French Grand Prix,2021
NOR,94.707,93.822,92.336,91.252,French Grand Prix,2021
OCO,94.329,93.685,92.681,91.736,French Grand Prix,2021
PER,94.193,93.921,92.238,90.445,French Grand Prix,2021
RAI,95.135,93.786,93.328,93.354,French Grand Prix,2021
RIC,94.644,94.079,92.759,91.382,French Grand Prix,2021
RUS,,95.266,93.364,92.065,French Grand Prix,2021
SAI,95.342,93.698,92.195,90.84,French Grand Prix,2021
STR,95.275,94.632,93.051,92.122,French Grand Prix,2021
TSU,94.847,93.955,92.9,,French Grand Prix,2021
VER,93.88,92.872,91.3,89.99,French Grand Prix,2021
VET,95.289,94.447,93.2,91.767,French Grand Prix,2021
ALO,66.475,65.827,65.4,64.574,Styrian Grand Prix,2021
BOT,66.155,66.251,64.832,64.035,Styrian Grand Prix,2021
GAS,66.166,,65.298,64.236,Styrian Grand Prix,2021
GIO,66.614,66.145,65.556,64.913,Styrian Grand Prix,2021
HAM,66.332,65.335,64.369,64.067,Styrian Grand Prix,2021
KUB,67.823,,,,Styrian Grand Prix,2021
LAT,67.18,67.669,66.119,65.175,Styrian Grand Prix,2021
LEC,66.629,66.27,65.34,64.472,Styrian Grand Prix,2021
MAZ,68.081,67.315,66.692,66.192,Styrian Grand Prix,2021
MSC,67.473,66.886,65.992,66.041,Styrian Grand Prix,2021
NOR,66.861,65.994,65.228,64.12,Styrian Grand Prix,2021
OCO,66.551,65.79,65.676,65.217,Styrian Grand Prix,2021
PER,66.696,66.089,65.026,64.168,Styrian Grand Prix,2021
RAI,,66.297,65.942,65.429,Styrian Grand Prix,2021
RIC,66.669,65.748,66.116,64.808,Styrian Grand Prix,2021
RUS,66.848,66.628,65.863,64.671,Styrian Grand Prix,2021
SAI,66.63,66.147,65.698,64.711,Styrian Grand Prix,2021
STR,66.584,66.079,65.445,64.663,Styrian Grand Prix,2021
TSU,66.397,66.451,65.15,64.514,Styrian Grand Prix,2021
VER,65.91,65.412,64.57,63.841,Styrian Grand Prix,2021
VET,66.708,65.934,65.492,64.711,Styrian Grand Prix,2021
ALO,,65.393,65.434,64.472,Austrian Grand Prix,2021
BOT,65.445,64.712,65.129,64.049,Austrian Grand Prix,2021
GAS,65.726,65.379,65.28,64.107,Austrian Grand Prix,2021
GIO,,65.511,65.345,64.777,Austrian Grand Prix,2021
HAM,65.709,64.523,64.994,64.014,Austrian Grand Prix,2021
ILO,66.564,,,,Austrian Grand Prix,2021
LAT,66.978,66.014,66.105,65.195,Austrian Grand Prix,2021
LEC,65.409,65.708,65.484,64.6,Austrian Grand Prix,2021
MAZ,67.284,66.173,66.289,65.951,Austrian Grand Prix,2021
MSC,66.583,65.636,66.078,65.427,Austrian Grand Prix,2021
NIS,66.683,,,,Austrian Grand Prix,2021
NOR,65.88,65.466,65.7,63.768,Austrian Grand Prix,2021
OCO,65.98,65.527,65.674,65.051,Austrian Grand Prix,2021
PER,65.726,65.516,65.396,63.99,Austrian Grand Prix,2021
RAI,65.586,65.405,65.747,65.009,Austrian Grand Prix,2021
RIC,66.181,65.698,65.725,64.719,Austrian Grand Prix,2021
RUS,,65.819,65.694,64.553,Austrian Grand Prix,2021
SAI,65.431,65.62,65.347,64.559,Austrian Grand Prix,2021
STR,66.203,65.139,65.546,64.547,Austrian Grand Prix,2021
TSU,65.474,65.356,65.561,64.273,Austrian Grand Prix,2021
VER,65.143,64.74,64.591,63.72,Austrian Grand Prix,2021
VET,66.205,65.268,65.542,64.493,Austrian Grand Prix,2021
ZHO,66.414,,,,Austrian Grand Prix,2021
ALO,78.385,78.169,77.992,76.541,Hungarian Grand Prix,2021
BOT,77.616,77.012,77.055,75.734,Hungarian Grand Prix,2021
GAS,78.181,78.113,78.115,76.394,Hungarian Grand Prix,2021
GIO,81.889,79.256,79.113,77.583,Hungarian Grand Prix,2021
HAM,77.722,77.039,76.826,75.419,Hungarian Grand Prix,2021
KUB,80.639,,,,Hungarian Grand Prix,2021
LAT,79.824,79.479,78.821,78.036,Hungarian Grand Prix,2021
LEC,78.391,78.37,77.52,76.496,Hungarian Grand Prix,2021
MAZ,80.992,81.881,79.933,78.922,Hungarian Grand Prix,2021
MSC,80.383,79.817,79.406,,Hungarian Grand Prix,2021
NOR,78.649,78.313,77.772,76.385,Hungarian Grand Prix,2021
OCO,78.765,77.759,78.174,76.653,Hungarian Grand Prix,2021
PER,78.466,77.824,77.917,76.421,Hungarian Grand Prix,2021
RAI,,79.277,78.683,77.553,Hungarian Grand Prix,2021
RIC,79.265,78.737,77.942,76.871,Hungarian Grand Prix,2021
RUS,79.724,79.292,78.794,77.944,Hungarian Grand Prix,2021
SAI,78.115,78.441,77.497,76.649,Hungarian Grand Prix,2021
STR,78.755,78.32,78.05,76.893,Hungarian Grand Prix,2021
TSU,78.77,79.671,78.461,77.919,Hungarian Grand Prix,2021
VER,77.555,77.31,76.914,75.65,Hungarian Grand Prix,2021
VET,78.989,78.228,78.235,76.75,Hungarian Grand Prix,2021
ALO,106.612,104.953,119.613,118.205,Belgian Grand Prix,2021
BOT,105.199,104.513,119.808,116.295,Belgian Grand Prix,2021
GAS,105.699,104.965,119.324,116.44,Belgian Grand Prix,2021
GIO,106.755,105.789,121.512,122.306,Belgian Grand Prix,2021
HAM,108.224,104.544,117.996,116.229,Belgian Grand Prix,2021
LAT,107.101,106.198,119.981,118.056,Belgian Grand Prix,2021
LEC,105.818,106.836,121.37,117.721,Belgian Grand Prix,2021
MAZ,108.705,107.335,121.792,124.939,Belgian Grand Prix,2021
MSC,109.059,107.529,121.269,123.973,Belgian Grand Prix,2021
NOR,106.336,105.386,118.509,116.025,Belgian Grand Prix,2021
OCO,106.497,105.302,118.913,117.354,Belgian Grand Prix,2021
PER,106.127,105.404,117.871,116.886,Belgian Grand Prix,2021
RAI,108.125,105.967,124.382,124.452,Belgian Grand Prix,2021
RIC,106.683,106.118,120.456,117.127,Belgian Grand Prix,2021
RUS,106.772,106.665,119.492,116.95,Belgian Grand Prix,2021
SAI,105.935,105.517,120.749,118.137,Belgian Grand Prix,2021
STR,106.649,105.18,119.205,118.231,Belgian Grand Prix,2021
TSU,106.928,105.758,121.51,122.413,Belgian Grand Prix,2021
VER,105.363,104.472,116.924,116.559,Belgian Grand Prix,2021
VET,106.177,105.336,119.436,116.814,Belgian Grand Prix,2021
ALO,72.158,71.28,70.67,69.956,Dutch Grand Prix,2021
BOT,71.738,71.132,70.179,69.222,Dutch Grand Prix,2021
GAS,72.515,71.462,71.005,69.478,Dutch Grand Prix,2021
GIO,72.359,71.678,71.299,69.59,Dutch Grand Prix,2021
HAM,71.5,71.911,70.417,68.923,Dutch Grand Prix,2021
KUB,,,72.162,71.301,Dutch Grand Prix,2021
LAT,72.907,72.61,71.083,70.093,Dutch Grand Prix,2021
LEC,71.623,70.902,70.896,69.437,Dutch Grand Prix,2021
MAZ,73.516,72.835,72.136,71.875,Dutch Grand Prix,2021
MSC,73.847,72.607,72.366,71.387,Dutch Grand Prix,2021
NOR,72.679,71.488,70.781,70.406,Dutch Grand Prix,2021
OCO,72.231,71.074,71.18,69.919,Dutch Grand Prix,2021
PER,73.328,71.946,70.526,70.53,Dutch Grand Prix,2021
RAI,73.053,72.206,,,Dutch Grand Prix,2021
RIC,73.081,72.157,71.013,69.865,Dutch Grand Prix,2021
RUS,73.181,72.855,71.274,70.332,Dutch Grand Prix,2021
SAI,71.601,71.056,71.94,69.537,Dutch Grand Prix,2021
STR,72.431,72.136,70.842,70.367,Dutch Grand Prix,2021
TSU,120.384,72.096,71.98,70.462,Dutch Grand Prix,2021
VER,71.597,71.264,69.623,68.885,Dutch Grand Prix,2021
VET,75.984,71.713,70.872,70.731,Dutch Grand Prix,2021
ALO,85.383,84.66,91.545,83.477,Turkish Grand Prix,2021
BOT,84.842,84.214,91.996,82.998,Turkish Grand Prix,2021
GAS,85.382,84.756,90.447,83.326,Turkish Grand Prix,2021
GIO,85.812,84.796,92.097,86.43,Turkish Grand Prix,2021
HAM,84.178,83.804,93.636,82.868,Turkish Grand Prix,2021
LAT,85.863,85.307,95.681,86.086,Turkish Grand Prix,2021
LEC,84.654,83.97,91.543,83.265,Turkish Grand Prix,2021
MAZ,87.019,85.698,93.425,88.449,Turkish Grand Prix,2021
MSC,86.636,85.48,92.228,85.2,Turkish Grand Prix,2021
NOR,85.347,84.525,92.314,83.954,Turkish Grand Prix,2021
OCO,84.909,84.672,92.089,84.842,Turkish Grand Prix,2021
PER,85.459,84.373,90.684,83.706,Turkish Grand Prix,2021
RAI,85.933,85.143,91.572,87.525,Turkish Grand Prix,2021
RIC,85.75,84.975,92.27,85.881,Turkish Grand Prix,2021
RUS,85.685,85.358,,85.007,Turkish Grand Prix,2021
SAI,84.86,84.903,91.262,85.177,Turkish Grand Prix,2021
STR,86.221,85.02,93.348,84.305,Turkish Grand Prix,2021
TSU,86.424,84.882,91.981,84.054,Turkish Grand Prix,2021
VER,84.603,84.439,90.611,83.196,Turkish Grand Prix,2021
VET,85.81,85.229,92.111,84.795,Turkish Grand Prix,2021
ALO,97.068,96.376,96.49,95.756,United States Grand Prix,2021
BOT,94.874,95.36,94.988,93.475,United States Grand Prix,2021
GAS,96.611,96.242,95.398,94.118,United States Grand Prix,2021
GIO,96.874,96.138,96.252,95.794,United States Grand Prix,2021
HAM,94.919,94.842,94.458,93.119,United States Grand Prix,2021
LAT,97.463,97.254,96.118,95.995,United States Grand Prix,2021
LEC,96.334,95.572,95.343,93.606,United States Grand Prix,2021
MAZ,100.948,98.026,97.344,96.796,United States Grand Prix,2021
MSC,98.866,97.041,96.671,96.499,United States Grand Prix,2021
NOR,96.855,95.203,94.945,93.88,United States Grand Prix,2021
OCO,96.97,96.158,95.711,95.377,United States Grand Prix,2021
PER,95.817,94.946,94.701,93.134,United States Grand Prix,2021
RAI,96.876,96.558,96.062,96.311,United States Grand Prix,2021
RIC,96.22,95.457,95.345,93.808,United States Grand Prix,2021
RUS,96.966,97.49,96.023,95.73,United States Grand Prix,2021
SAI,96.508,95.919,94.805,93.792,United States Grand Prix,2021
STR,96.972,95.561,96.392,95.983,United States Grand Prix,2021
TSU,97.248,96.69,96.572,94.918,United States Grand Prix,2021
VER,95.806,95.824,94.383,92.91,United States Grand Prix,2021
VET,96.344,96.718,95.851,95.281,United States Grand Prix,2021
ALO,79.656,78.732,78.816,78.452,Mexico City Grand Prix,2021
BOT,78.341,77.725,77.708,75.875,Mexico City Grand Prix,2021
GAS,78.985,78.429,78.202,76.456,Mexico City Grand Prix,2021
GIO,80.344,79.227,78.556,77.897,Mexico City Grand Prix,2021
HAM,78.417,77.81,77.675,76.02,Mexico City Grand Prix,2021
LAT,81.58,80.82,79.313,78.756,Mexico City Grand Prix,2021
LEC,79.667,78.605,78.213,76.748,Mexico City Grand Prix,2021
MAZ,82.819,81.581,80.479,79.303,Mexico City Grand Prix,2021
MSC,82.144,79.62,79.238,78.858,Mexico City Grand Prix,2021
NOR,80.301,78.979,78.312,77.473,Mexico City Grand Prix,2021
OCO,79.759,79.431,78.999,78.126,Mexico City Grand Prix,2021
PER,78.61,77.871,77.024,76.342,Mexico City Grand Prix,2021
RAI,80.026,78.841,78.531,77.606,Mexico City Grand Prix,2021
RIC,80.273,79.521,78.121,76.763,Mexico City Grand Prix,2021
RUS,80.517,127.22,79.211,77.958,Mexico City Grand Prix,2021
SAI,79.463,78.318,78.029,76.761,Mexico City Grand Prix,2021
STR,80.03,79.73,78.352,80.873,Mexico City Grand Prix,2021
TSU,80.011,78.644,78.037,76.701,Mexico City Grand Prix,2021
VER,78.464,77.301,77.217,76.225,Mexico City Grand Prix,2021
VET,79.858,78.681,78.614,77.502,Mexico City Grand Prix,2021
ALO,85.905,84.056,83.186,81.67,Qatar Grand Prix,2021
BOT,84.194,83.148,82.31,81.478,Qatar Grand Prix,2021
GAS,84.16,83.357,82.721,81.64,Qatar Grand Prix,2021
GIO,85.757,85.072,84.288,83.262,Qatar Grand Prix,2021
HAM,84.509,83.57,82.388,80.827,Qatar Grand Prix,2021
LAT,85.688,85.209,84.499,83.213,Qatar Grand Prix,2021
LEC,84.79,84.095,83.276,82.463,Qatar Grand Prix,2021
MAZ,87.5,,,85.859,Qatar Grand Prix,2021
MSC,86.699,85.575,84.68,83.407,Qatar Grand Prix,2021
NOR,85.215,83.632,83.895,81.731,Qatar Grand Prix,2021
OCO,84.972,84.041,83.209,82.012,Qatar Grand Prix,2021
PER,84.915,83.787,82.846,82.346,Qatar Grand Prix,2021
RAI,85.828,84.631,84.246,83.156,Qatar Grand Prix,2021
RIC,85.291,84.135,83.711,82.597,Qatar Grand Prix,2021
RUS,85.871,84.954,83.923,82.756,Qatar Grand Prix,2021
SAI,84.713,84.033,83.048,81.84,Qatar Grand Prix,2021
STR,86.712,83.705,84.154,82.46,Qatar Grand Prix,2021
TSU,84.648,83.735,83.567,81.881,Qatar Grand Prix,2021
VER,83.723,83.498,82.651,81.282,Qatar Grand Prix,2021
VET,85.328,84.02,83.884,82.146,Qatar Grand Prix,2021
ALO,90.842,89.441,89.418,88.92,Saudi Arabian Grand Prix,2021
BOT,90.009,89.079,89.019,87.622,Saudi Arabian Grand Prix,2021
GAS,90.263,89.099,88.715,88.125,Saudi Arabian Grand Prix,2021
GIO,90.318,90.11,89.59,88.616,Saudi Arabian Grand Prix,2021
HAM,89.786,89.018,88.314,87.511,Saudi Arabian Grand Prix,2021
LAT,91.821,91.039,90.366,89.177,Saudi Arabian Grand Prix,2021
LEC,90.6,89.772,89.101,88.054,Saudi Arabian Grand Prix,2021
MAZ,93.464,91.629,90.979,90.473,Saudi Arabian Grand Prix,2021
MSC,91.525,90.652,90.933,89.464,Saudi Arabian Grand Prix,2021
NOR,91.029,90.004,89.3,88.18,Saudi Arabian Grand Prix,2021
OCO,91.023,89.555,89.177,88.574,Saudi Arabian Grand Prix,2021
PER,90.96,89.768,88.629,87.946,Saudi Arabian Grand Prix,2021
RAI,91.296,90.276,89.689,88.856,Saudi Arabian Grand Prix,2021
RIC,90.608,89.968,89.717,88.216,Saudi Arabian Grand Prix,2021
RUS,91.343,90.506,90.034,88.926,Saudi Arabian Grand Prix,2021
SAI,90.564,89.589,89.149,88.237,Saudi Arabian Grand Prix,2021
STR,91.044,90.442,90.03,89.368,Saudi Arabian Grand Prix,2021
TSU,91.099,89.597,88.641,88.222,Saudi Arabian Grand Prix,2021
VER,89.842,89.213,88.1,87.653,Saudi Arabian Grand Prix,2021
VET,90.886,90.502,90.296,89.198,Saudi Arabian Grand Prix,2021
AIT,87.481,,,,Abu Dhabi Grand Prix,2021
ALO,85.625,84.225,85.094,83.46,Abu Dhabi Grand Prix,2021
BOT,85.205,84.083,84.025,83.036,Abu Dhabi Grand Prix,2021
GAS,85.822,84.94,84.251,83.489,Abu Dhabi Grand Prix,2021
GIO,86.409,85.108,85.048,84.118,Abu Dhabi Grand Prix,2021
HAM,85.042,83.691,83.274,82.48,Abu Dhabi Grand Prix,2021
LAT,87.487,85.687,85.322,84.338,Abu Dhabi Grand Prix,2021
LEC,85.846,84.557,84.758,83.122,Abu Dhabi Grand Prix,2021
MAZ,88.305,86.336,86.332,85.685,Abu Dhabi Grand Prix,2021
MSC,87.698,85.784,85.34,84.906,Abu Dhabi Grand Prix,2021
NOR,86.123,85.072,84.106,82.931,Abu Dhabi Grand Prix,2021
OCO,86.025,84.034,84.834,83.389,Abu Dhabi Grand Prix,2021
PER,85.363,84.4,84.047,82.947,Abu Dhabi Grand Prix,2021
RAI,86.189,85.44,85.037,84.779,Abu Dhabi Grand Prix,2021
RIC,86.676,84.812,84.733,83.409,Abu Dhabi Grand Prix,2021
RUS,,85.549,85.22,84.423,Abu Dhabi Grand Prix,2021
SAI,85.886,84.844,84.595,82.992,Abu Dhabi Grand Prix,2021
STR,86.608,85.385,84.821,84.061,Abu Dhabi Grand Prix,2021
TSU,85.378,84.532,84.223,83.011,Abu Dhabi Grand Prix,2021
VER,85.009,84.332,83.488,82.109,Abu Dhabi Grand Prix,2021
VET,86.007,85.195,85.115,84.225,Abu Dhabi Grand Prix,2021
