Driver,BestLapTime_FP1,BestLapTime_FP2,BestLapTime_FP3,BestLapTime_Qualy,GP,Year
ALO,93.872,91.77,92.82,90.249,Bahrain Grand Prix,2021
BOT,91.692,91.218,91.855,89.586,Bahrain Grand Prix,2021
GAS,92.195,91.483,91.583,89.809,Bahrain Grand Prix,2021
GIO,92.786,91.74,92.5,90.708,Bahrain Grand Prix,2021
HAM,91.921,91.082,91.316,89.385,Bahrain Grand Prix,2021
LAT,94.34,93.4,93.959,91.936,Bahrain Grand Prix,2021
LEC,91.993,91.612,92.482,89.678,Bahrain Grand Prix,2021
MAZ,94.975,93.449,93.622,93.273,Bahrain Grand Prix,2021
MSC,94.501,93.297,93.422,92.449,Bahrain Grand Prix,2021
NOR,91.897,90.942,92.86,89.974,Bahrain Grand Prix,2021
OCO,93.528,91.601,92.423,91.724,Bahrain Grand Prix,2021
PER,92.071,91.503,91.908,90.659,Bahrain Grand Prix,2021
RAI,93.134,91.862,92.224,91.238,Bahrain Grand Prix,2021
RIC,92.434,91.23,92.477,89.927,Bahrain Grand Prix,2021
RUS,94.127,92.331,93.323,91.316,Bahrain Grand Prix,2021
SAI,92.366,91.127,92.108,90.009,Bahrain Grand Prix,2021
STR,93.233,91.393,92.431,90.601,Bahrain Grand Prix,2021
TSU,93.329,91.294,92.677,90.607,Bahrain Grand Prix,2021
VER,91.394,90.847,90.577,88.997,Bahrain Grand Prix,2021
VET,93.157,91.769,92.755,92.056,Bahrain Grand Prix,2021
ALO,77.457,76.835,76.186,75.593,Emilia Romagna Grand Prix,2021
BOT,76.564,75.551,75.908,74.672,Emilia Romagna Grand Prix,2021
GAS,76.888,75.629,75.89,74.79,Emilia Romagna Grand Prix,2021
GIO,78.058,76.513,76.612,76.122,Emilia Romagna Grand Prix,2021
HAM,76.605,75.561,75.515,74.411,Emilia Romagna Grand Prix,2021
LAT,77.739,76.823,76.537,75.593,Emilia Romagna Grand Prix,2021
LEC,76.796,75.367,75.738,74.74,Emilia Romagna Grand Prix,2021
MAZ,78.823,77.857,76.793,76.797,Emilia Romagna Grand Prix,2021
MSC,79.48,77.35,76.448,76.279,Emilia Romagna Grand Prix,2021
NOR,77.935,76.485,75.414,74.454,Emilia Romagna Grand Prix,2021
OCO,78.36,76.817,76.228,75.117,Emilia Romagna Grand Prix,2021
PER,78.228,76.411,75.551,74.446,Emilia Romagna Grand Prix,2021
RAI,77.883,77.273,76.775,75.974,Emilia Romagna Grand Prix,2021
RIC,77.769,76.782,76.253,74.826,Emilia Romagna Grand Prix,2021
RUS,77.866,77.179,76.427,75.261,Emilia Romagna Grand Prix,2021
SAI,76.888,75.834,75.908,75.199,Emilia Romagna Grand Prix,2021
STR,77.489,76.737,76.245,75.138,Emilia Romagna Grand Prix,2021
TSU,79.781,76.419,76.23,,Emilia Romagna Grand Prix,2021
VER,76.622,76.999,74.958,74.498,Emilia Romagna Grand Prix,2021
VET,77.984,77.092,76.389,75.394,Emilia Romagna Grand Prix,2021
ALO,81.303,80.22,78.735,79.456,Portuguese Grand Prix,2021
BOT,79.648,80.181,78.82,78.348,Portuguese Grand Prix,2021
GAS,80.444,80.558,79.374,79.052,Portuguese Grand Prix,2021
GIO,,81.238,79.588,79.216,Portuguese Grand Prix,2021
HAM,79.967,79.837,78.725,77.968,Portuguese Grand Prix,2021
ILO,81.806,,,,Portuguese Grand Prix,2021
LAT,82.293,81.855,80.681,80.285,Portuguese Grand Prix,2021
LEC,79.884,80.36,79.001,78.769,Portuguese Grand Prix,2021
MAZ,83.52,82.638,80.64,80.912,Portuguese Grand Prix,2021
MSC,81.939,81.232,80.033,80.452,Portuguese Grand Prix,2021
NOR,80.635,80.757,79.272,78.481,Portuguese Grand Prix,2021
OCO,80.8,80.235,78.86,78.586,Portuguese Grand Prix,2021
PER,79.846,80.516,78.84,78.845,Portuguese Grand Prix,2021
RAI,81.381,81.225,79.415,79.748,Portuguese Grand Prix,2021
RIC,80.995,80.418,79.582,79.839,Portuguese Grand Prix,2021
RUS,80.529,80.976,80.127,79.109,Portuguese Grand Prix,2021
SAI,80.68,80.197,79.05,78.813,Portuguese Grand Prix,2021
STR,80.894,80.427,80.007,79.913,Portuguese Grand Prix,2021
TSU,81.09,81.053,79.485,79.463,Portuguese Grand Prix,2021
VER,79.673,79.98,78.489,78.209,Portuguese Grand Prix,2021
VET,81.405,81.074,80.129,78.97,Portuguese Grand Prix,2021
ALO,79.95,78.518,78.662,77.966,Spanish Grand Prix,2021
BOT,78.504,78.309,78.423,76.873,Spanish Grand Prix,2021
GAS,79.062,78.593,78.535,77.982,Spanish Grand Prix,2021
GIO,79.694,79.122,79.214,78.356,Spanish Grand Prix,2021
HAM,78.627,78.17,78.07,76.741,Spanish Grand Prix,2021
KUB,81.887,,,,Spanish Grand Prix,2021
LAT,80.27,80.046,79.392,79.219,Spanish Grand Prix,2021
LEC,78.996,78.335,78.308,77.51,Spanish Grand Prix,2021
MAZ,81.976,80.753,80.237,79.807,Spanish Grand Prix,2021
MSC,80.766,80.326,79.999,79.117,Spanish Grand Prix,2021
NIS,80.7,,,,Spanish Grand Prix,2021
NOR,78.944,79.092,78.494,77.696,Spanish Grand Prix,2021
OCO,79.681,78.466,78.7,77.58,Spanish Grand Prix,2021
PER,79.349,78.918,78.606,77.669,Spanish Grand Prix,2021
RAI,,79.213,78.597,78.917,Spanish Grand Prix,2021
RIC,79.732,79.195,78.582,77.622,Spanish Grand Prix,2021
RUS,,79.957,79.005,78.445,Spanish Grand Prix,2021
SAI,79.02,78.674,78.41,77.62,Spanish Grand Prix,2021
STR,79.429,79.134,78.877,77.974,Spanish Grand Prix,2021
TSU,79.669,78.619,78.673,78.556,Spanish Grand Prix,2021
VER,78.537,78.785,77.835,76.777,Spanish Grand Prix,2021
VET,79.234,78.947,79.363,78.079,Spanish Grand Prix,2021
ALO,74.205,73.175,73.329,72.205,Monaco Grand Prix,2021
BOT,73.131,72.107,71.765,70.601,Monaco Grand Prix,2021
GAS,72.929,72.498,72.357,70.9,Monaco Grand Prix,2021
GIO,74.106,72.746,72.539,71.409,Monaco Grand Prix,2021
