gp_idx,algo,display_name,real_starting_pos,real_finishing_pos,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,9,13,-5385.989227294922,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-834.9019546508789,3,True
0,A2C,Bahrain GP (ALO),6,9,2,1477.0162506103516,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4603.7557373046875,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4639.35075378418,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1589.120994567871,4,True
0,A2C,Bahrain GP (ALO),6,9,4,-623.1545486450195,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-855.1555023193359,2,True
0,A2C,Bahrain GP (ALO),6,9,3,212.43468475341797,3,True
0,A2C,Bahrain GP (ALO),6,9,3,645.6719131469727,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2349.0233993530273,4,True
0,A2C,Bahrain GP (ALO),6,9,5,-1392.0035018920898,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-1196.707618713379,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-5051.000839233398,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-836.7401351928711,4,True
0,A2C,Bahrain GP (ALO),6,9,7,-2880.545181274414,2,True
0,A2C,Bahrain GP (ALO),6,9,11,-5293.046356201172,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3848.631217956543,3,True
0,A2C,Bahrain GP (ALO),6,9,18,-6340.09903717041,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4608.893821716309,4,True
0,A2C,Bahrain GP (ALO),6,9,6,-2350.267349243164,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2888.86466217041,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5499.510643005371,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4176.134071350098,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-1375.5513763427734,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3850.817901611328,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2134.7139053344727,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2354.4223251342773,1,True
0,A2C,Bahrain GP (ALO),6,9,7,-2882.4955978393555,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1392.324722290039,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1380.8778076171875,3,True
0,A2C,Bahrain GP (ALO),6,9,20,-12014.68172454834,0,False
0,A2C,Bahrain GP (ALO),6,9,15,-6118.049491882324,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1799.2367248535156,4,True
0,A2C,Bahrain GP (ALO),6,9,11,-5300.712074279785,3,True
0,A2C,Bahrain GP (ALO),6,9,14,-5757.180931091309,2,True
