gp_idx,algo,display_name,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,-1931.7383575439453,1,True
0,A2C,Bahrain GP (ALO),8,-3430.0890579223633,1,True
0,A2C,Bahrain GP (ALO),4,-617.1197204589844,1,True
0,A2C,Bahrain GP (ALO),4,-453.8779067993164,2,True
0,A2C,Bahrain GP (ALO),8,-3536.0389099121094,1,True
0,A2C,Bahrain GP (ALO),2,1645.067626953125,2,True
0,A2C,Bahrain GP (ALO),4,-424.6862335205078,1,True
0,A2C,Bahrain GP (ALO),5,-1307.132438659668,2,True
0,A2C,Bahrain GP (ALO),7,-2786.8517456054688,2,True
0,A2C,Bahrain GP (ALO),2,1458.988021850586,2,True
0,A2C,Bahrain GP (ALO),7,-2817.290153503418,1,True
0,A2C,Bahrain GP (ALO),4,-414.2726135253906,2,True
0,A2C,Bahrain GP (ALO),8,-3450.14151763916,1,True
0,A2C,Bahrain GP (ALO),4,-418.5603866577149,1,True
0,A2C,Bahrain GP (ALO),9,-4191.8637619018555,1,True
0,A2C,Bahrain GP (ALO),6,-1963.0994186401367,1,True
0,A2C,Bahrain GP (ALO),7,-2683.1038360595703,2,True
0,A2C,Bahrain GP (ALO),4,-247.4476623535156,1,True
0,A2C,Bahrain GP (ALO),4,-569.2854919433594,2,True
0,A2C,Bahrain GP (ALO),4,-524.7276306152344,2,True
0,A2C,Bahrain GP (ALO),2,1552.27734375,1,True
0,A2C,Bahrain GP (ALO),19,-6306.083610534668,2,True
0,A2C,Bahrain GP (ALO),5,-1188.194076538086,1,True
0,A2C,Bahrain GP (ALO),4,-421.1589126586914,2,True
0,A2C,Bahrain GP (ALO),10,-4648.3540115356445,2,True
0,A2C,Bahrain GP (ALO),6,-2143.629570007324,3,True
0,A2C,Bahrain GP (ALO),13,-5601.057579040527,3,True
0,A2C,Bahrain GP (ALO),4,-430.6101684570313,2,True
0,A2C,Bahrain GP (ALO),6,-1933.9556198120115,2,True
0,A2C,Bahrain GP (ALO),5,-1170.818878173828,1,True
0,A2C,Bahrain GP (ALO),7,-2686.3308181762695,1,True
0,A2C,Bahrain GP (ALO),3,420.3448257446289,2,True
0,A2C,Bahrain GP (ALO),7,-3023.200942993164,2,True
0,A2C,Bahrain GP (ALO),3,313.6973571777344,2,True
0,A2C,Bahrain GP (ALO),7,-2799.796226501465,2,True
0,A2C,Bahrain GP (ALO),6,-1937.9551544189453,1,True
0,A2C,Bahrain GP (ALO),3,603.8532409667969,1,True
0,A2C,Bahrain GP (ALO),7,-2694.1336669921875,2,True
0,A2C,Bahrain GP (ALO),7,-2704.5814819335938,1,True
0,A2C,Bahrain GP (ALO),2,1659.8854751586914,1,True
0,A2C,Bahrain GP (ALO),10,-4631.406753540039,1,True
0,A2C,Bahrain GP (ALO),6,-1984.1574249267576,2,True
0,A2C,Bahrain GP (ALO),4,-537.5194702148438,2,True
0,A2C,Bahrain GP (ALO),20,-11726.961204528809,0,False
0,A2C,Bahrain GP (ALO),5,-1407.4329071044922,3,True
0,A2C,Bahrain GP (ALO),8,-3557.277442932129,2,True
0,A2C,Bahrain GP (ALO),3,314.62489318847656,2,True
0,A2C,Bahrain GP (ALO),4,-773.9552307128906,2,True
0,A2C,Bahrain GP (ALO),3,590.1298446655273,2,True
0,A2C,Bahrain GP (ALO),5,-1369.017936706543,1,True
0,A2C,Bahrain GP (ALO),7,-2892.132080078125,3,True
0,A2C,Bahrain GP (ALO),20,-11591.72910308838,0,False
0,A2C,Bahrain GP (ALO),12,-5374.370010375977,2,True
0,A2C,Bahrain GP (ALO),6,-1752.728614807129,1,True
0,A2C,Bahrain GP (ALO),9,-4201.887725830078,2,True
0,A2C,Bahrain GP (ALO),3,152.6322784423828,2,True
0,A2C,Bahrain GP (ALO),13,-5381.109169006348,2,True
0,A2C,Bahrain GP (ALO),1,3929.995391845703,1,True
0,A2C,Bahrain GP (ALO),7,-2677.2024307250977,2,True
0,A2C,Bahrain GP (ALO),7,-2786.50887298584,1,True
0,A2C,Bahrain GP (ALO),8,-3456.137580871582,1,True
0,A2C,Bahrain GP (ALO),12,-5232.647384643555,2,True
0,A2C,Bahrain GP (ALO),9,-4383.612640380859,1,True
0,A2C,Bahrain GP (ALO),9,-4187.671974182129,2,True
0,A2C,Bahrain GP (ALO),1,3889.766227722168,2,True
0,A2C,Bahrain GP (ALO),7,-2670.57275390625,2,True
0,A2C,Bahrain GP (ALO),4,-418.2892608642578,2,True
0,A2C,Bahrain GP (ALO),20,-6675.035610198975,1,True
0,A2C,Bahrain GP (ALO),3,398.0418701171875,2,True
0,A2C,Bahrain GP (ALO),5,-1284.7019348144531,1,True
0,A2C,Bahrain GP (ALO),9,-4188.07405090332,2,True
0,A2C,Bahrain GP (ALO),7,-2663.888740539551,2,True
0,A2C,Bahrain GP (ALO),4,-527.2461242675781,1,True
0,A2C,Bahrain GP (ALO),7,-2956.069450378418,2,True
0,A2C,Bahrain GP (ALO),1,3904.520950317383,2,True
0,A2C,Bahrain GP (ALO),4,-443.2085952758789,1,True
0,A2C,Bahrain GP (ALO),8,-3448.4552688598633,1,True
0,A2C,Bahrain GP (ALO),6,-2041.8643493652344,1,True
0,A2C,Bahrain GP (ALO),5,-1406.405044555664,2,True
0,A2C,Bahrain GP (ALO),5,-1181.4960174560547,1,True
0,A2C,Bahrain GP (ALO),13,-5493.96257019043,1,True
0,A2C,Bahrain GP (ALO),20,-11696.088241577148,0,False
0,A2C,Bahrain GP (ALO),6,-2034.7327499389648,1,True
0,A2C,Bahrain GP (ALO),5,-1164.0772247314453,2,True
0,A2C,Bahrain GP (ALO),20,-11587.146583557129,0,False
0,A2C,Bahrain GP (ALO),2,1654.2504348754885,2,True
0,A2C,Bahrain GP (ALO),6,-1919.9650344848633,2,True
0,A2C,Bahrain GP (ALO),4,-671.7294006347656,2,True
0,A2C,Bahrain GP (ALO),10,-4636.400772094727,2,True
0,A2C,Bahrain GP (ALO),8,-3426.120376586914,2,True
0,A2C,Bahrain GP (ALO),4,-443.9567260742187,1,True
0,A2C,Bahrain GP (ALO),9,-4186.391815185547,2,True
0,A2C,Bahrain GP (ALO),6,-1943.0143661499023,2,True
0,A2C,Bahrain GP (ALO),20,-11795.400428771973,0,False
0,A2C,Bahrain GP (ALO),8,-3447.6002883911133,1,True
0,A2C,Bahrain GP (ALO),8,-3433.937606811523,2,True
0,A2C,Bahrain GP (ALO),9,-4286.467086791992,1,True
0,A2C,Bahrain GP (ALO),12,-5337.897048950195,1,True
0,A2C,Bahrain GP (ALO),2,1570.044204711914,1,True
0,A2C,Bahrain GP (ALO),3,425.2816848754883,2,True
0,A2C,Bahrain GP (ALO),5,-1420.115707397461,2,True
0,A2C,Bahrain GP (ALO),8,-3588.7977752685547,2,True
0,A2C,Bahrain GP (ALO),10,-4752.545036315918,2,True
0,A2C,Bahrain GP (ALO),7,-2679.719825744629,2,True
0,A2C,Bahrain GP (ALO),1,3914.529838562012,2,True
0,A2C,Bahrain GP (ALO),20,-11680.999794006348,0,False
0,A2C,Bahrain GP (ALO),6,-2030.523750305176,1,True
0,A2C,Bahrain GP (ALO),5,-1185.2407989501953,1,True
0,A2C,Bahrain GP (ALO),2,1345.3322982788086,1,True
0,A2C,Bahrain GP (ALO),2,1671.8742904663086,2,True
0,A2C,Bahrain GP (ALO),11,-5107.74129486084,2,True
0,A2C,Bahrain GP (ALO),3,594.3004760742188,2,True
0,A2C,Bahrain GP (ALO),15,-5955.851867675781,2,True
0,A2C,Bahrain GP (ALO),20,-11924.17074584961,0,False
0,A2C,Bahrain GP (ALO),4,-427.7201843261719,2,True
0,A2C,Bahrain GP (ALO),3,540.6417770385742,1,True
0,A2C,Bahrain GP (ALO),4,-419.60831451416016,2,True
0,A2C,Bahrain GP (ALO),10,-4890.136344909668,2,True
